01.MHAa42e1.seq	WC-118
08.MMHAP47FLC2.seq	WC-280
08.MMHAP50FLC2.seq	WC-386
08.MMHAP50FRC8.seq	WC-996
08.MMHAP53FLC2.seq	WC-2106
08.MMHAP54FLC2.seq	WC-1096
08.MMHAP58FRC8.seq	WC-1012
08.MMHAP59FLC2.seq	WC-486
08.MMHAP59FRC8.seq	WC-2078
08.MMHAP62FLC2.seq	WC-677
08.MMHAP63FLC2.seq	WC-1868
08.MMHAP64FLC2.seq	WC-1511
08.MMHAP69FLC2.seq	WC-965
08.MMHAP69FRC8.seq	WC-728
08.MMHAP6FRC8.seq	WC-1437
08.MMHAP70FLC2.seq	WC-933
08.MMHAP71FLC2.seq	WC-2049
08.MMHAP76FRC8.seq	WC-1410
08.MMHAP81FLC2.seq	WC-742
08.MMHAP82FRC8.seq	WC-1220
08.MMHAP84FLC2.seq	WC-443
08.MMHAP84FRC8.seq	WC-970
08.MMHAP85FLC2.seq	WC-870
08.MMHAP85FRC8.seq	WC-1058
08.MMHAP91FRC8.seq	WC-338
08.MMHAP94FRC8.seq	WC-600
08.MMHAP97FRC8.seq	WC-660
08.MMHAP9FRC8.seq	WC-1032
08.mHAa9f8.seq	WC-350
09.MHAa55e9.seq	WC-2074
09.MHAa56e9.seq	WC-1919
09.MHAa77a9.seq	WC-1836
09.MMHAP10FC3.seq	WC-217
09.MMHAP11FLC3.seq	WC-2025
09.MMHAP12FRC9.seq	WC-1618
09.MMHAP14FLC3.seq	WC-731
09.MMHAP14FRC9.seq	WC-1011
09.MMHAP15FLC3.seq	WC-150
09.MMHAP23FLC3.seq	WC-1210
09.MMHAP23FRC9.seq	WC-1022
09.MMHAP26FRC9.seq	WC-1858
09.MMHAP28FLC3.seq	WC-2014
09.MMHAP29FLC3.seq	WC-252
09.MMHAP31FLC3.seq	WC-1348
09.MMHAP34FRC9.seq	WC-633
09.MMHAP35FLC3.seq	WC-722
09.MMHAP35FRC9.seq	WC-1255
09.MMHAP36FLC3.seq	WC-1323
09.MMHAP36FRC9.seq	WC-1970
09.MMHAP37FRC9.seq	WC-1777
09.MMHAP38FLC3.seq	WC-1937
09.MMHAP44FLC3.seq	WC-234
09.MMHAP45FRC9.seq	WC-1328
09.MMHAP48FLC3.seq	WC-72
09.MMHAP4FRC9.seq	WC-1125
09.MMHAP53FRC9.seq	WC-1
09.MMHAP54FLC3.seq	WC-1061
09.MMHAP54FRC9.seq	WC-45
09.MMHAP56FRC9.seq	WC-1758
09.MMHAP57FRC9.seq	WC-1441
09.MMHAP5FLC3.seq	WC-973
09.MMHAP5FRC9.seq	WC-1913
09.MMHAP61FLC3.seq	WC-1965
09.MMHAP61FRC9.seq	WC-233
09.MMHAP63FLC3.seq	WC-1158
09.MMHAP64FRC9.seq	WC-1323
09.MMHAP66FLC3.seq	WC-1223
09.MMHAP66FRC9.seq	WC-1756
09.MMHAP68FRC9.seq	WC-1003
09.MMHAP69FLC3.seq	WC-650
09.MMHAP6FRC9.seq	WC-1635
09.MMHAP70FLC3.seq	WC-19
09.MMHAP76FLC3.seq	WC-1547
09.MMHAP76FRC9.seq	WC-756
09.MMHAP82FLC3.seq	WC-1432
09.MMHAP84FLC3.seq	WC-1134
09.MMHAP85FLC3.seq	WC-1431
09.MMHAP86FLC3.seq	WC-84
09.MMHAP87FRC9.seq	WC-273
09.MMHAP88FRC9.seq	WC-95
09.MMHAP8FRC9.seq	WC-2118
09.MMHAP90FLC3.seq	WC-237
09.MMHAP91FRC9.seq	WC-514
09.MMHAP94FLC3.seq	WC-282
09.MMHAP94FRC9.seq	WC-1220
09.mHAa3d9.seq	WC-1308
10.G1_8_30_95a79B.seq	WC-1060
10.MHAa43c10.seq	WC-1514
10.MHAa55e10.seq	WC-701
10.MHAa63e10.seq	WC-1104
10.MHAa64e10.seq	WC-1249
10.MHAa65T_M13Rev.seq	WC-256
10.MHAa79T.seq	WC-1819
10.MHAa89e10.seq	WC-1780
10.MHAa90a10.seq	WC-2090
10.MHAa91e10.seq	WC-998
10.MHAa92e10.seq	WC-1485
10.MHAa95a10.seq	WC-170
10.MHAa96a10.seq	WC-329
10.MHAa98e10.seq	WC-1431
10.MMHAP11FLD1.seq	WC-627
10.MMHAP12FRD7.seq	WC-1908
10.MMHAP16FRD7.seq	WC-1318
10.MMHAP20FRD7.seq	WC-2007
10.MMHAP22FRD7.seq	WC-627
10.MMHAP25FRD7.seq	WC-596
10.MMHAP26FLD1.seq	WC-194
10.MMHAP27FLD1.seq	WC-1049
10.MMHAP27FRD7.seq	WC-365
10.MMHAP28FLD1.seq	WC-1708
10.MMHAP30FLD1.seq	WC-1610
10.MMHAP31FLD1.seq	WC-1022
10.MMHAP34FLD1.seq	WC-1048
10.MMHAP35FLD1.seq	WC-1404
10.MMHAP35FRD7.seq	WC-546
10.MMHAP38FLD1.seq	WC-1020
10.MMHAP3FRD7.seq	WC-1692
10.MMHAP42FRD7.seq	WC-1300
10.MMHAP47FLD1.seq	WC-555
10.MMHAP4FRD7.seq	WC-481
10.MMHAP54FLD1.seq	WC-1032
10.MMHAP59FLD1.seq	WC-1638
10.MMHAP5FLD1.seq	WC-1908
10.MMHAP61FLD1.seq	WC-1906
10.MMHAP62FLD1.seq	WC-1049
10.MMHAP62FRD7.seq	WC-2065
10.MMHAP63FLD1.seq	WC-1267
10.MMHAP64FLD1.seq	WC-1407
10.MMHAP64FRD7.seq	WC-1995
10.MMHAP66FLD1.seq	WC-842
10.MMHAP66FRD7.seq	WC-216
10.MMHAP67FLD1.seq	WC-690
10.MMHAP67FRD7.seq	WC-553
10.MMHAP6FLD1.seq	WC-1548
10.MMHAP71FLD1.seq	WC-1219
10.MMHAP71FRD7.seq	WC-578
10.MMHAP75FRD7.seq	WC-1811
10.MMHAP76FRD7.seq	WC-1119
10.MMHAP79FRD7.seq	WC-208
10.MMHAP82FLD1.seq	WC-1134
10.MMHAP82FRD7.seq	WC-652
10.MMHAP84FLD1.seq	WC-947
10.MMHAP85FLD1.seq	WC-1007
10.MMHAP86FLD1.seq	WC-1308
10.MMHAP89FLD1.seq	WC-749
10.MMHAP8FRD7.seq	WC-557
10.MMHAP91FRD7.seq	WC-1798
10.MMHAP94FRD7.seq	WC-1453
10.MMHAP95FRD7.seq	WC-304
10.MMHAP96FLD1.seq	WC-1789
10.MMHAP97FRD7.seq	WC-1308
10.MMHAP9FRD7.seq	WC-80
10.mHAa9f10.seq	WC-300
11.G1_8_30_95a79B.seq	WC-1308
11.MHAa49a11.seq	WC-1885
11.MHAa52e11.seq	WC-2133
11.MHAa55e11.seq	WC-1284
11.MHAa61B.seq	WC-66
11.MHAa63a11.seq	WC-761
11.MHAa92e11.seq	WC-1321
11.MHAa93e11.seq	WC-1805
11.MMHAP10FD2.seq	WC-1884
11.MMHAP11FRD8.seq	WC-933
11.MMHAP15FLD2.seq	WC-1681
11.MMHAP16FLD2.seq	WC-1587
11.MMHAP16FRD8.seq	WC-176
11.MMHAP17FRD8.seq	WC-369
11.MMHAP18FLD2.seq	WC-815
11.MMHAP20FRD8.seq	WC-1852
11.MMHAP24FRD8.seq	WC-1453
11.MMHAP26FRD8.seq	WC-370
11.MMHAP28FRD8.seq	WC-1190
11.MMHAP29FRD8.seq	WC-1943
11.MMHAP32FLD2.seq	WC-1088
11.MMHAP34FRD8.seq	WC-1293
11.MMHAP35FLD2.seq	WC-1447
11.MMHAP36FLD2.seq	WC-1507
11.MMHAP37FLD2.seq	WC-987
11.MMHAP38FRD8.seq	WC-768
11.MMHAP44FRD8.seq	WC-1957
11.MMHAP45FRD8.seq	WC-988
11.MMHAP46FLD2.seq	WC-1032
11.MMHAP51FRD8.seq	WC-314
11.MMHAP56FRD8.seq	WC-1200
11.MMHAP5FRD8.seq	WC-82
11.MMHAP61FLD2.seq	WC-1719
11.MMHAP62FLD2.seq	WC-726
11.MMHAP63FRD8.seq	WC-1478
11.MMHAP64FLD2.seq	WC-1731
11.MMHAP69FLD2.seq	WC-998
11.MMHAP6FLD2.seq	WC-1833
11.MMHAP6FRD8.seq	WC-1525
11.MMHAP75FRD8.seq	WC-1101
11.MMHAP7FLD2.seq	WC-562
11.MMHAP80FLD2.seq	WC-988
11.MMHAP80FRD8.seq	WC-1759
11.MMHAP83FRD8.seq	WC-1857
11.MMHAP84FLD2.seq	WC-867
11.MMHAP85FRD8.seq	WC-1978
11.MMHAP87FLD2.seq	WC-1208
11.MMHAP87FRD8.seq	WC-1957
11.MMHAP88FLD2.seq	WC-110
11.MMHAP90FRD8.seq	WC-828
11.MMHAP91FLD2.seq	WC-1194
11.MMHAP91FRD8.seq	WC-1592
11.mHAa7h11.seq	WC-1442
11_27_2.seq	WC-922
11_27_36iis.seq	WC-1811
12.MHAa90a12.seq	WC-347
12.MMHAP12FRD9.seq	WC-700
12.MMHAP14FLD3.seq	WC-475
12.MMHAP15FRD9.seq	WC-1724
12.MMHAP17FRD9.seq	WC-1395
12.MMHAP18FLD3.seq	WC-870
12.MMHAP21FLD3.seq	WC-719
12.MMHAP24FLD3.seq	WC-1693
12.MMHAP26FRD9.seq	WC-1851
12.MMHAP27FRD9.seq	WC-1981
12.MMHAP28FLD3.seq	WC-237
12.MMHAP28FRD9.seq	WC-1369
12.MMHAP29FLD3.seq	WC-1187
12.MMHAP29FRD9.seq	WC-749
12.MMHAP31FLD3.seq	WC-1524
12.MMHAP32FLD3.seq	WC-673
12.MMHAP33FLD3.seq	WC-1622
12.MMHAP34FLD3.seq	WC-1478
12.MMHAP35FLD3.seq	WC-711
12.MMHAP36FLD3.seq	WC-233
12.MMHAP37FRD9.seq	WC-1189
12.MMHAP38FRD9.seq	WC-1881
12.MMHAP3FLD3.seq	WC-1129
12.MMHAP44FRD9.seq	WC-1455
12.MMHAP4FRD9.seq	WC-1464
12.MMHAP50FRD9.seq	WC-183
12.MMHAP53FLD3.seq	WC-238
12.MMHAP54FLD3.seq	WC-141
12.MMHAP59FRD9.seq	WC-1119
12.MMHAP61FRD9.seq	WC-2031
12.MMHAP64FRD9.seq	WC-1913
12.MMHAP67FRD9.seq	WC-245
12.MMHAP70FLD3.seq	WC-1706
12.MMHAP70FRD9.seq	WC-498
12.MMHAP79FRD9.seq	WC-2049
12.MMHAP7FLD3.seq	WC-529
12.MMHAP81FLD3.seq	WC-1848
12.MMHAP83FRD9.seq	WC-1350
12.MMHAP84FRD9.seq	WC-300
12.MMHAP85FLD3.seq	WC-377
12.MMHAP85FRD9.seq	WC-370
12.MMHAP87FLD3.seq	WC-928
12.MMHAP88FLD3.seq	WC-1937
12.MMHAP88FRD9.seq	WC-266
12.MMHAP91FLD3.seq	WC-1908
12.MMHAP97FRD9.seq	WC-1908
12.mHAa3a12.seq	WC-2124
12.mhaa80e.seq	WC-1560
12_5_11_1.seq	WC-171
12_5_11_18.seq	WC-256
12_5_11_6.seq	WC-10
12_5_13_1.seq	WC-1699
12_5_13_11.seq	WC-1699
12_5_13_8.seq	WC-1699
12_5_15_4.seq	WC-414
12_5_15_7.seq	WC-414
12_5_1_18.seq	WC-1996
12_5_2_1.seq	WC-650
12_5_2_2.seq	WC-650
12_5_3_11.seq	WC-922
12_5_5_1.seq	WC-83
12_5_5_6.seq	WC-83
12_5_5_9.seq	WC-1801
12_5_6_3.seq	WC-1404
12_5_6_6.seq	WC-1404
