Locus	Assay	Chrom	Genetic Position	Contig	Yacs
	19.MHAa58b7.seq			WC8.29	115_D_6 122_C_7 223_A_9 240_H_1 387_B_10
	MHAa67b4.seq			WC11.10	140_H_10 158_A_9 169_B_10 288_G_2 330_B_11 332_B_3 332_C_3 351_E_12 379_C_9 441_F_3
	MHAa29b8.seq			WC7.3	158_C_10 158_C_11 277_E_9 385_C_11
	MHAa70e9.seq				301_B_6 301_B_7 301_C_2 392_C_6 397_C_12 415_A_4
	MHAa43h6.seq			WC10.36	115_F_3 279_F_4 357_B_12 405_H_2 463_E_9 88_B_4
	mHAa21e2.seq			WCX.25	120_C_5 214_G_6 277_H_2 297_B_7 352_A_9 359_D_12 362_F_5
	MHAa97a8.seq			WC7.36	121_A_8 183_F_4 224_H_5 279_G_2 307_A_11 307_B_6
	MHAa84a1.seq				113_D_8 183_D_4
	24.MMHAP28FRH9.seq				173_G_1 309_H_10 389_C_6
	16.MHAa95b4.seq			WC2.63	279_C_5 379_D_12 409_B_11 411_F_11 411_H_9 417_G_5
	02.MHAa92a2.seq				119_B_3 151_D_10 168_A_3 282_C_4 304_H_3 305_A_6 317_A_9 391_E_10 424_A_1 427_A_1 449_E_4-f 454_A_2
	MTH2511			WC16.33	173_H_4 282_B_10 328_A_10 426_G_11 436_F_4
	A773				200_D_1
	42.MHAa98h6.seq			WC14.28	123_G_7 172_D_6 240_F_2 409_F_1 427_B_10
	46.MHAa65T_M13Rev.seq			WC16.21	132_A_7 137_E_6 179_E_6 212_B_6 285_A_11 292_D_5 421_E_9 443_H_3
	MHAa35c7.seq			WC5.34	137_C_8 139_C_1 161_E_1 358_D_8 384_B_4 390_D_9 395_D_2
	21.MHAa10f9.seq			WC14.40	115_C_7 120_D_2 152_E_12 311_G_2 390_A_11
	43.MHAa65T_M13Rev.seq			WC8.39	115_A_7 160_F_12 256_H_6 433_E_9
	22.MHAa58b10.seq			WC2.6	137_E_7 172_E_7 323_A_4 323_A_5 334_D_9 342_C_1 390_D_3 415_G_3 418_E_5 436_G_12
	22.MHAa90f10.seq			WC3.47	150_A_9 172_C_7 177_G_8 177_H_7 183_C_11 255_A_11 282_E_2 299_D_9 330_D_9 464_B_6
	15.MMHAP28FRE9.seq			WC13.41	132_F_6 135_D_12 138_A_12 160_B_3 185_F_6 391_B_9 417_D_4 452_H_5
	MHAa29b4.seq				188_C_11 214_H_1 281_F_10 438_D_6
	32.MHAa43e8.seq			WC13.26	141_D_12 171_B_5 185_F_12 309_C_4 312_C_6 420_C_5 449_F_1
	45.MHAa92d9.seq			WC4.5	308_H_3 329_F_7 387_A_4 463_A_11
	MHAa82a4.seq			WC12.8	346_C_4 398_G_9 439_H_3 460_D_12
	MHAa82b4.seq			WC4.5	177_B_6 308_H_3 329_H_5 387_A_4 395_E_8 463_A_11
	42.MHAa77d6.seq			WC2.9	179_H_5 188_E_3 319_C_7 349_C_10
	MHAa97g7.seq			WC4.1	125_E_1 150_H_1 274_H_6 330_E_4 330_H_7 382_A_2
	MHAa67d12.seq			WC10.30	129_F_12 179_B_10 310_G_12 345_E_7 345_E_9 345_F_5 345_H_2 412_E_11 415_G_6 444_B_3 444_C_2 444_D_5
	MHAa15h11.seq				240_H_7
	MHAa74a4.seq			WC1.1	116_E_4 139_A_7 181_B_2 384_H_5 415_A_8 419_G_6 432_F_2 441_H_2 463_E_2
	14.MHAa92f2.seq				326_F_1 384_D_8 434_E_1
	MTH2892			WC16.12	295_F_6 341_B_6 350_B_10 387_C_12 405_C_7 418_C_9 433_H_8 438_B_2
	11.MHAa49a11.seq				335_B_5 362_G_5 430_A_4 430_B_4 453_E_5
	33.MHAa79T.seq			WC5.5	115_E_5 133_B_5 160_F_7 360_H_3 434_F_3 458_G_7
	33.MHAa95c9.seq			WC4.25	167_F_1 390_C_4 451_B_10 458_H_9
	MT2092			WC5.0	185_F_9 211_D_4 239_A_3
	43.MHAa63d7.seq			WC19.14	200_A_11 316_C_3 316_D_3
	28.MHAa64g4.seq			WC9.14	277_F_4 293_B_3 298_E_3 316_G_9 386_C_10 419_H_5
	42.MHAa96d6.seq			WC6.39	148_A_12 169_B_1 173_A_8 332_H_1 375_F_3 384_G_8 403_F_5 417_A_10
	MHAa66f11.seq			WC17.11	126_A_10 141_F_2 144_H_5 349_G_12 350_C_6 376_E_3 408_B_10
	07.MHAa93e7.seq				115_A_9 123_C_7 131_B_10 138_F_2 177_B_7 344_C_2 344_D_5 344_E_5 441_A_12
	20.MHAa93f8.seq			WC3.37	285_D_2 307_G_7 335_G_1 344_H_5 361_C_10 390_F_12 439_D_7 459_D_1
	43.MHAa42h7.seq				148_E_12 193_F_12 457_A_4
	17.MHAa92b5.seq			WCX.37	282_F_5 308_E_4 329_D_1 414_G_7 418_F_2 418_H_1 460_D_8 460_E_7 460_F_7
	47.MHAa98h11.seq			WC3.1	131_B_2 150_D_6 152_E_9 346_B_7 385_H_5 395_A_6 411_E_4 463_B_4
	42.MHAa52h6.seq			WC11.14	115_E_10 115_E_9 183_E_2 183_E_7 185_G_5 211_A_3 211_D_2 461_E_11 461_E_9
	MHAa34h1.seq				122_A_5 316_A_11 361_C_6
	MHAa29a4.seq			WC17.3	118_C_11 122_F_12 133_H_5 164_B_7 177_G_4 185_H_2 193_G_5 307_C_11 307_E_4 307_E_5 360_G_9 377_H_1 388_A_2 388_G_8 390_B_8 392_F_2 392_H_2 439_F_3 463_B_8 465_E_2
	MHAa21c3.seq			WC1.26	178_D_2 215_D_2 218_D_11 223_C_10 223_G_6 356_A_1 434_F_3 436_B_5
	MHAa28c3.seq			WC4.28	121_D_11 149_E_9 403_B_7 88_F_6
	MHAa53c1.seq			WC8.43	358_B_3
	27.mHAa8b3.seq			WC4.51	255_B_9 375_C_8 459_E_3
	A784			WC11.33	149_A_1 187_C_4 313_D_1 409_E_2 410_H_3 455_G_6
	MHAa52a5.seq			WC6.50	131_C_9 169_F_11 239_A_1 277_D_5 312_F_6 396_C_5 442_E_7 456_F_2 461_E_1
	D618			WC11.18	211_G_1 240_A_1 320_E_7 332_A_9 377_E_1 421_F_2
	D617			WC8.25	141_G_1 164_F_1 321_C_7 341_A_6 348_C_12 381_B_1 439_A_2 445_A_5 445_F_2
	MHAa70h12.seq			WC1.25	140_G_2 156_E_8 183_E_1 316_B_5 330_B_1 375_C_1
	07.MHAa64e7.seq			WC10.10	125_B_10 164_C_1 274_A_11 391_G_7 421_A_7 442_H_6 443_H_5 443_H_6
	08.MHAa26T.seq				117_C_1 137_A_3 139_D_5 326_C_1 375_C_9 421_E_2 463_F_4
	45.G1_8_30_95a79B.seq			WC1.72	224_G_10 316_B_9 346_A_7 386_B_6 386_D_7 411_G_11
	MHAa38d12.seq			WC13.11	147_H_10 173_G_2 203_B_3 266_B_10 292_B_5 323_E_3 341_H_11 433_H_12 446_H_2 454_G_2 454_H_5 458_E_11
	13.MMHAP28FLE1.seq			WC2.43	117_A_1 119_G_7 127_E_4 148_F_3 151_A_1 173_D_1 180_H_6 289_C_11 298_A_4 300_D_12 360_F_7 406_H_3 435_F_2 463_B_11
	MHAa84g2.seq			WC12.28	167_G_1 266_G_1 291_A_8 311_D_2 330_B_8
	07.MMHAP28FRC7.seq			WC8.34	305_B_12 310_H_5 335_E_10 403_G_4 406_B_3 439_G_6
	43.MHAa96d7.seq				200_D_7 307_B_8 428_F_7 463_G_7
	mHAa57c11.seq			WC3.9	159_B_1 296_C_9 296_E_3 382_E_7 398_C_7 446_H_11 450_C_2
	mHAa21f7.seq				150_E_5 198_H_5 256_C_12 386_G_3 462_H_6
	09.MHAa77a9.seq			WC11.12	147_C_1 156_G_6 160_D_9 169_F_3 283_B_5 309_A_7 332_B_1 386_C_9 406_F_2 408_A_4 420_G_11 450_E_9 463_H_9
	B109				158_F_10 240_A_5 395_F_10 397_A_9
	15.MHAa56f3.seq			WC14.35	136_G_4 139_G_7 160_H_4 160_H_9 389_D_12
	MHAa70f8.seq				119_E_11 218_B_3 292_A_10 418_C_7 441_B_3
	MHAa34f9.seq			WC7.15	114_E_7 171_F_2 295_B_5 310_G_3 356_H_1 356_H_7
	MHAa84d1.seq			WC9.10	159_F_12 213_C_1 389_C_8 419_E_12
	18.mHAa3b6.seq			WC4.56	188_C_2 188_F_2 218_D_12 290_C_2 307_A_2 358_G_10 361_C_8 385_A_2 390_H_11 398_H_4 88_C_3
	15.E1_9_6_95.seq			WC12.29	132_C_6 333_C_7 385_C_5 409_E_6 87_H_11
	30.mHAa3f6.seq			WC10.32	118_A_6 178_D_4 350_E_4 350_G_1 454_G_5
	09.MHAa56e9.seq				136_D_3 359_D_11 389_B_7 411_E_8
	41.MHAa90h5.seq			WC16.14	116_D_6 124_F_2 134_D_7 151_C_8 281_F_10 281_F_7 289_A_12 325_G_4
	MHAa34e4.seq			WC3.33	129_E_11 136_H_7 151_B_9 178_E_10 178_F_1 309_A_12 335_F_12 345_D_7 416_G_2
	MHAa35c5.seq			WC3.20	115_E_6 118_E_4 127_D_11 331_B_1 348_B_1 349_H_2 380_B_6 444_F_3
	14.MHAa90b2.seq				458_B_1 458_B_3 460_F_9
	33.MHAa63c9.seq			WC11.17	173_E_5 180_C_3 455_E_6 88_H_12
	08.MMHAP28FRC8.seq			WC3.38	120_G_9 126_B_7 153_A_1 156_E_5 163_B_4 300_E_9 304_A_9 357_B_4 457_A_3
	20.MHAa10f8.seq			WC8.1	136_C_5 149_F_10 161_H_9 185_B_9 200_C_1 317_C_7 341_D_6 405_H_4
	MHAa67c6.seq			WC6.32	177_F_9 256_E_1 335_B_7 410_C_7 416_F_10 435_B_2
	MHAa82d4.seq			WC3.41	125_G_8 162_E_6 163_D_6 179_E_9 224_A_7 351_D_10 351_E_10 402_C_4 402_D_5 433_H_7
	mHAa57b4.seq			WC3.18	141_C_9 214_C_12 344_D_12 386_E_8 417_B_10 463_A_12
	MHAa15b12.seq			WC4.49	115_E_4 163_G_12 301_D_10 301_D_5 402_E_2 439_C_11
	33.MHAa42g9.seq			WC17.15	283_A_3 285_C_3 310_A_7 359_F_6 451_D_5 463_B_10
	46.MHAa62T.seq			WC14.38	122_E_5 134_D_6 172_F_3 184_F_3 329_C_10 329_G_8 334_D_10 349_E_7 351_C_7 359_F_10 384_F_6 386_A_5 405_E_7 419_B_9 429_D_7 437_E_11 457_C_3 457_D_2
	25.MHAa52g1.seq			WC11.15	150_D_4 178_A_5 317_C_4 317_C_5 325_B_5 377_F_9 384_H_2 415_G_3 421_G_7 448_A_10
	47.MHAa95d11.seq			WC13.24	119_B_5 132_F_5 326_H_10 351_H_7 452_D_1 458_C_4 460_D_5
	MHAa70g10.seq			WC14.26	159_C_1 418_C_10 433_D_2 433_F_9 436_B_2
	MPC1493			WC12.37	303_H_4 305_F_4 330_B_12 350_C_7 403_A_5 405_B_10 405_H_9 435_B_11
	MTH2267			WC2.45	110_H_11 121_D_3 123_B_5 165_A_7 165_C_5 168_C_5 184_G_3 184_G_4 279_A_6 279_H_6 281_D_12 311_C_12 311_G_5 311_H_4 313_E_5 313_F_5 313_G_3 313_G_4 359_E_7 381_E_4 402_A_6 402_G_5 403_C_5 403_D_12 433_F_5
	MHAa29d4.seq				128_E_11 211_C_10 382_G_12 440_B_12
	23.MHAa98f11.seq				414_B_8
	MTH2266			WC4.9	121_B_11 121_E_10 151_A_3 161_F_9 193_B_11 193_E_10 305_H_3 311_F_9 343_E_7 410_A_3 456_C_1 457_H_1 464_B_12
	46.MHAa63h10.seq			WC8.4	173_A_9 179_A_10 255_E_10 306_D_6 317_F_3 454_D_11 465_A_6
	MHAa20d12.seq				116_H_6 462_A_3
	MHAa38c10.seq			WC2.37	278_D_11 292_C_3 426_C_4 88_A_1 88_C_11
	MT4580				160_H_11 162_C_7 304_F_8
	MHAa28g7.seq			WC8.1	125_H_3 126_H_3 128_B_6 138_D_3 177_C_2 183_H_4 185_F_1 240_A_12 311_D_4 317_C_7
	MHAa21d2.seq				266_C_7 287_A_7
	12.mHAa3a12.seq				122_B_9 123_A_4
	34.MHAa92g10.seq				180_H_4 200_C_8 332_D_11 422_H_5 423_H_11 449_C_2
	B106			WC11.18	163_D_12 185_H_1 277_C_8 288_A_6 362_G_7 438_C_5 457_E_7
	09.mHAa3d9.seq				116_A_6 122_B_9 137_F_1 149_A_1 151_B_3 440_H_9
	MHAa84a10.seq			WC16.3	316_D_12 359_C_12 382_D_3 453_H_9
	37.MHAa64h1.seq				136_G_9 376_A_10 386_C_5 452_A_4 459_B_11
	MHAa61d9.seq			WC5.18	110_D_4 162_F_11 301_G_5 357_C_5 357_C_9 378_E_9 390_F_5 390_F_9 403_B_4
	mHAa21g10.seq				128_A_10 177_F_9 405_G_11 464_A_6 464_A_7
	MHAa84e5.seq			WC15.30	117_C_10 185_A_10 320_B_10
	46.MHAa90d10.seq			WC8.42	148_B_10 198_G_9 217_F_2 217_H_1 313_F_8 313_G_8 320_D_9 321_B_7 321_D_7 391_G_9 406_E_9 88_E_9
	16.MMHAP28FLF1.seq			WC3.22	217_F_3 319_D_8 326_C_2 361_G_9
	17.MHAa39B.seq			WC6.50	203_B_6 223_C_10 273_H_3 279_E_1 350_H_11 382_B_3 382_F_3 384_F_2 419_C_4 463_F_5
	07.mHAa3d7.seq				185_A_11 185_H_9 326_F_8 344_E_10 386_B_7 442_C_4
	29.mHAa8b5.seq				333_D_9
	MPC1691			WC14.38	122_E_5 329_C_10
	MHAa84h4.seq			WC2.57	141_B_11 149_G_9 159_E_10 187_A_3 239_F_11 285_E_8 289_G_10 289_H_8 306_D_3 316_G_6 87_H_3
	MHAa52b9.seq			WC1.4	113_D_1 352_F_9 384_E_3 388_E_1
	30.MHAa89g6.seq			WC1.9	156_B_3 332_B_11 397_C_1
	38.MHAa93h2.seq			WC17.0	168_E_12 286_B_6 341_A_7 362_F_12 411_B_1
	09.MHAa55e9.seq			WC14.16	148_G_4 168_E_4 304_F_9 304_G_9 304_H_12 313_A_4 378_B_9 408_H_4 408_H_5 451_F_12 464_F_1
	10.MHAa55e10.seq			WC10.4	128_G_5 289_F_2 391_D_8 402_D_8 421_D_6 441_B_11 459_D_3 87_B_11
	MHAa15h4.seq			WC17.7	138_B_12 141_E_2 149_G_8 168_G_2 457_F_2 458_E_9
	05.MMHAP28FRB8.seq			WC12.13	115_C_6 218_H_10 333_G_12 444_H_1
	MHAa29a5.seq			WC5.20	139_G_3 183_A_11 183_B_12 188_F_2 240_E_10 240_E_7 352_B_11 358_G_10 381_F_5 390_H_11 455_E_3 88_C_3
	MHAa43g3.seq			WC4.29	162_E_4 167_E_2 185_G_11 328_F_3 391_H_7
	MHAa47h4.seq				360_A_5
	MHAa67d8.seq			WC11.15	317_C_4 317_C_5 415_G_3 421_G_7 460_G_10
	29.MHAa92g5.seq				131_C_9 141_E_2 180_A_11 255_F_10 277_F_11 302_G_4 434_H_11
	MHAa38d1.seq				116_G_2 132_D_8 305_H_6 324_B_11 397_D_2
	MHAa84a2.seq			WC1.4	352_F_9 388_E_1
	MHAa81h6.seq			WC14.23	125_D_7 179_H_10 437_F_7
	MHAa67a1.seq				328_H_5
	46.MMHAP27FRH10.seq			WC16.19	149_H_6 163_F_10 177_H_9 240_H_2 303_H_11 388_B_3
	22.mHAa3b10.seq			WC7.20	283_C_3 312_A_12 348_D_10 358_A_2 412_H_3
	04.MHAa92e4.seq			WC15.13	137_D_10 170_F_7 312_B_2 385_A_6 415_E_7
	32.mHAa3f8.seq			WCX.5	150_G_2 288_F_12 311_A_2 322_B_3 379_F_2 388_D_10 392_H_5 417_D_6
	34.MHAa43e10.seq				173_G_12 198_E_4 319_F_2 396_D_11
	MHAa84d3.seq			WC5.7	188_G_7 266_H_6 302_H_9 320_E_9 465_H_12
	MHAa67d2.seq			WC6.32	153_A_8 313_C_7 313_C_8 343_E_2 395_B_1 411_F_12 458_F_8
	43.MHAa98h7.seq			WC6.29	178_H_3 286_A_9 286_B_11 331_F_4 349_F_5 387_E_10
	23.MHAa90f11.seq			WC13.30	125_D_10 129_E_4 150_G_2 178_H_8 346_B_5 346_C_6 350_H_5 461_C_6
	MHAa83b7.seq				114_G_7 114_G_8 125_G_10 170_D_5 180_B_6 330_G_1 431_E_9 455_D_2 456_E_4 88_F_1
	15.MMHAP28FLE3.seq			WC11.6	110_B_12 128_E_9 134_E_11 149_C_3 150_E_12 162_F_8 178_D_10 183_H_8 385_C_10 403_D_12 459_E_5 462_E_2
	MHAa75g1.seq			WC15.31	136_C_1 149_A_3 149_B_2 188_H_12 313_C_1 328_D_1 416_D_12 427_G_4 449_E_8 87_E_3
	MHAa54e7.seq			WC8.1	136_C_5 149_F_10 185_B_9 200_C_1 311_D_4 317_C_7 405_H_4 436_D_7 455_F_9 455_H_9 457_H_7
	41.MMHAP28FLF5.seq			WC8.1	136_C_5 200_C_1 311_D_4 317_C_7 405_H_4 436_D_7 455_F_9 455_H_9 457_H_7
	37.MHAa92d1.seq			WC13.22	149_C_6 163_A_12 322_G_6 343_A_5 359_E_11 380_D_12 381_B_8
	41.MHAa77d5.seq			WC8.25	141_G_1 164_F_1 187_F_12 321_C_7 324_G_5 341_A_6 381_B_1 445_F_2
	MHAa81h10.seq			WC3.47	120_B_8 131_G_12 135_E_10 171_C_4 177_G_8 177_H_7 188_D_11 214_B_1 214_G_2 214_G_3 240_E_5 255_A_11 282_B_5 282_E_2 291_G_5 329_G_12 330_D_9 346_C_2 376_C_7 382_G_3 408_D_8 409_D_7 409_G_7 418_F_6 441_D_1 441_D_8 441_E_10 450_E_7 464_B_6
	45.MHAa89h9.seq			WC16.28	116_B_1 166_G_12 188_H_12 285_D_12 305_B_8 328_D_1 360_F_9 409_F_10
	34.MHAa63g10.seq			WC11.38	138_A_7 342_H_12 346_E_8 385_F_11 425_B_9
	MHAa34g7.seq			WC10.4	125_C_3 223_B_6 334_B_12
	36.MHAa63g12.seq			WC11.6	126_A_7 213_C_2 213_C_5 274_H_10 408_D_1 415_F_3 416_A_9 452_B_11
	MHAa59g5.seq			WC1.25	122_D_5 140_E_8 153_D_7 181_D_12 217_A_1 287_H_2 391_B_10 443_E_11
	MHAa70g6.seq			WC9.26	123_C_3 311_B_7 343_H_2 443_E_9
	MHAa64b8.seq			WC5.52	124_G_9 153_H_6 177_B_3 333_A_3 385_C_9 414_A_12 463_E_9 463_G_5
	MHAa54e6.seq			WC7.39	150_F_9 165_D_7 165_E_7 282_B_9 313_A_5 343_H_9 397_C_10
	MHAa67c11.seq			WC11.27	163_G_11 323_A_5 361_H_6 405_A_1 419_B_1 426_A_12 458_D_4
	MHAa47h2.seq			WC7.44	115_E_11 115_E_12 129_D_7 306_E_8
	43.MHAa52h7.seq			WC3.34	286_B_8 433_H_3
	16.MHAa22T.seq				151_E_3 279_E_7 392_E_5
	23.MHAa81T_M13Rev.seq				166_H_8 299_H_5 319_F_5 319_F_6 416_C_6 456_H_7 465_E_8
	MHAa84b7.seq			WC10.30	144_D_10 148_C_9 180_D_9 212_C_3 273_A_7 273_B_9 325_H_4 345_E_7 345_E_9 345_F_5 345_H_2 352_A_9 352_H_2 410_H_5
	MHAa81h4.seq				132_C_4 183_E_3 415_D_8 443_H_9 450_H_11 452_A_6 460_F_8 460_G_10
	32.MHAa55g8.seq			WC6.13	300_G_7 352_F_3 356_F_3 391_A_8 425_A_10 448_C_7 457_H_3
	MHAa7c5.seq			WC12.29	132_C_6 333_C_7
	14.MHAa62T.seq			WC18.21	177_F_5 179_H_10 240_E_3 405_C_4
	MTH3116			WC13.42	124_C_3 151_B_7 156_E_7 391_A_9 463_A_7 464_D_12
	08.MHAa89e8.seq			WC11.32	153_B_1 160_E_5 452_D_4
	27.MMHAP28FLA6.seq			WC3.47	172_C_7 177_H_7 255_A_11 330_D_9 409_C_8 464_B_6
	MHAa38e6.seq			WC15.1	150_A_12 161_D_6 324_D_9 351_F_11
	47.MHAa79T.seq				200_A_11 288_H_7
	mHAa21h2.seq			WC7.26	150_E_3 215_E_9 388_G_6
	05.mHAa7h5.seq			WC8.18	135_D_7 240_C_11 240_F_11 298_F_8 300_D_8 358_D_12 377_B_11 402_G_1 431_A_5
	mHAa24b5.seq			WC12.31	122_C_2 184_G_1 277_D_7 283_A_11 291_G_10 346_G_4 352_F_4 387_E_6 395_E_8 406_E_5 441_E_8 460_A_8 462_A_7
	MHAa38c6.seq			WC4.9	128_F_1 135_F_8 167_H_5 255_A_1 325_C_2 350_A_12 415_E_5 457_H_1 464_B_12
	34.MHAa91g10.seq			WC1.54	156_A_9 406_E_10 406_H_10 424_D_10 427_D_10 435_C_1
	34.MHAa59c10.seq			WC9.45	455_D_12 455_E_7 455_F_1
	MHAa43h8.seq			WC6.38	119_F_11 149_A_8 180_E_1 185_C_10 213_G_8 433_H_1
	MHAa13b10.seq				128_B_2 214_B_6 214_C_6 312_D_4 445_A_4
	15.MHAa98f3.seq			WC13.11	128_H_6 129_C_6 183_D_8 277_D_9 333_G_9 344_E_4 349_B_10 445_C_12 449_F_11 458_B_3
	MHAa97a11.seq			WC10.38	165_H_7 184_E_10 281_H_9 292_C_5 417_E_2 436_C_1 440_H_4
	MHAa61d12.seq			WC2.12	188_G_6 341_E_5 342_B_1 342_C_6 432_A_8
	MTH1416			WC16.10	136_C_4 151_A_11 164_A_9 171_A_3 198_A_2 310_A_6 330_A_3 442_F_4
	MHAa75f11.seq				121_C_3 163_B_8 165_C_3 397_A_5
	MHAa59d11.seq			WC1.37	133_D_11 282_H_11 282_H_12 312_C_1 324_F_7 345_H_12 398_A_8 435_A_10 464_B_12
	46.MHAa92d10.seq			WC4.45	132_F_7 141_E_5 184_H_11 289_E_10 350_G_12 387_D_10 416_E_11 417_B_1 464_G_7
	30.MHAa52g6.seq			WC17.14	152_G_10 188_F_2
	22.MHAa92f10.seq				127_F_7 184_A_12 211_C_10 211_G_12
	MHAa97g6.seq			WC8.30	119_G_1 171_D_10 324_D_12
	37.MMHAP28FLE4.seq			WC11.6	128_E_9 140_D_2 140_F_5 150_E_12 162_F_8 171_H_3 266_G_10 403_F_8 405_H_2 418_B_8 427_D_6
	40.MHAa64h4.seq			WC13.2	129_H_6 141_A_2 141_B_2 168_C_3 288_E_1 344_D_6 392_G_12 402_D_9 462_G_3
	MHAa70h8.seq			WC15.23	118_A_10 172_D_11 180_G_2 312_F_3 321_E_3 380_G_7 389_A_8 405_F_1
	43.MHAa91h7.seq				149_C_9 150_H_5 187_A_5 361_C_12 398_C_8
	MHAa97e5.seq			WC4.17	274_A_4 379_H_3 392_F_5 395_E_11 414_G_11
	13.MMHAP28FRE7.seq			WC13.11	173_C_10 173_G_2 266_B_10 266_E_9 313_D_9 328_A_7 380_H_5 402_E_3 454_G_2 454_H_5
	mHAa57b5.seq			WC16.17	134_D_7 139_C_9 173_H_5 179_C_7 180_A_6 307_C_9 307_H_9 403_G_12 415_B_6 433_E_7 464_B_4
	MHAa15g12.seq			WC2.42	113_B_6 160_H_2 211_C_1 211_C_2 224_D_11 313_D_3 313_H_2 409_C_3 410_G_7
	MHAa35a12.seq				319_H_11 332_H_11 439_E_2 457_B_5
	26.MHAa90g2.seq			WC14.11	117_A_10 147_C_7 185_C_4 313_D_1 331_C_2 348_A_4 350_C_9 389_A_5 402_E_9 412_A_11
	26.MHAa58c2.seq			WC15.23	115_B_11 169_G_11 177_D_1 334_B_6 397_A_3 434_D_8 435_B_4
	MHAa82d5.seq			WC14.36	166_H_1 193_D_5 282_H_4 345_G_7 409_F_2 448_F_1
	32.MHAa90c8.seq				164_E_10 410_C_5 425_F_2
	22.mHAa3e10.seq			WC2.30	127_H_7 129_E_2
	MHAa81f4.seq			WC19.21	120_H_5 317_H_11 333_B_10 419_A_1 449_G_10 458_E_3
	46.MHAa64h10.seq			WC1.14	217_D_12 277_A_2 332_H_7 334_E_10 382_F_4 396_B_2 465_A_4 465_B_8
