01.MMHAP28FLA1.seq	WC-724
24.MHAa89f12.seq	WC-739
24.MHAa90b12.seq	WC-395
24.MHAa93f12.seq	WC-479
24.MHAa98f12.seq	WC-1213
24.mhaa80e.seq	WC-326
25.MHAa52g1.seq	WC-287
25.MHAa55g1.seq	WC-928
25.MHAa75c1.seq	WC-499
25.MHAa92c1.seq	WC-864
25.MHAa95c1.seq	WC-661
25.MMHAP28FRA10.seq	WC-424
25.mHAa3f1.seq	WC-217
25.mHAa8b1.seq	WC-407
25.mHAa9h1.seq	WC-1120
26.MHAa43e2.seq	WC-1255
26.MHAa58c2.seq	WC-466
26.MHAa59c2.seq	WC-876
26.MHAa63c2.seq	WC-616
26.MHAa77c2.seq	WC-706
26.MHAa90g2.seq	WC-680
26.MHAa92c2.seq	WC-225
26.MHAa93g2.seq	WC-288
26.MHAa95c2.seq	WC-617
26.MMHAP28FLA5.seq	WC-727
26.mHAa8b2.seq	WC-862
27.G1_8_30_95a79B.seq	WC-921
27.MHAa58c3.seq	WC-363
27.MHAa93g3.seq	WC-210
27.MHAa98g3.seq	WC-1010
27.MMHAP28FLA6.seq	WC-129
27.mHAa3f3.seq	WC-1124
27.mHAa8b3.seq	WC-519
28.E1_9_6_95.seq	WC-483
28.MHAa58c4.seq	WC-427
28.MHAa63c4.seq	WC-1082
28.MHAa64g4.seq	WC-876
28.MHAa65T_M13Rev.seq	WC-977
28.MMHAP28FLB4.seq	WC-911
28.MMHAP28FRB10.seq	WC-845
29.MHAa27B.seq	WC-1008
29.MHAa52g5.seq	WC-779
29.MHAa59c5.seq	WC-711
29.MHAa64g5.seq	WC-158
29.MHAa77c5.seq	WC-932
29.MHAa92g5.seq	WC-929
29.MMHAP28FLB5.seq	WC-1002
30.MHAa52g6.seq	WC-373
30.MHAa58c6.seq	WC-453
30.MHAa89g6.seq	WC-1103
30.MHAa96c6.seq	WC-1161
30.MMHAP28FLB6.seq	WC-773
30.MMHAP28FRB12.seq	WC-240
30.mHAa3f6.seq	WC-52
31.MHAa98g7.seq	WC-929
31.MMHAP28FLC4.seq	WC-403
31.MMHAP28FRC10.seq	WC-991
32.MHAa43e8.seq	WC-660
32.MHAa55g8.seq	WC-1193
32.MHAa56g8.seq	WC-549
32.MHAa63g8.seq	WC-771
32.MHAa79T.seq	WC-810
32.MHAa96c8.seq	WC-1059
32.MMHAP28FLC5.seq	WC-185
32.mHAa3f8.seq	WC-505
32.mHAa8b8.seq	WC-1026
33.MHAa10g9.seq	WC-387
33.MHAa42g9.seq	WC-636
33.MHAa63c9.seq	WC-197
33.MHAa77c9.seq	WC-204
33.MHAa79T.seq	WC-1245
33.MHAa90c9.seq	WC-891
33.MHAa90g9.seq	WC-409
33.MHAa92g9.seq	WC-239
33.MHAa95c9.seq	WC-142
33.MMHAP28FLC6.seq	WC-375
33.mHAa9h9.seq	WC-175
34.E1_9_6_95.seq	WC-344
34.MHAa56g10.seq	WC-204
34.MHAa59c10.seq	WC-1074
34.MHAa63g10.seq	WC-229
34.MHAa65T_M13Rev.seq	WC-793
34.MHAa91g10.seq	WC-402
34.MHAa92c10.seq	WC-665
34.MMHAP28FLD4.seq	WC-502
34.mHAa3f10.seq	WC-1004
34.mHAa8b10.seq	WC-525
35.MMHAP28FLD5.seq	WC-176
36.MHAa63c12.seq	WC-1234
36.MHAa63g12.seq	WC-1171
36.MHAa77c12.seq	WC-814
36.MHAa91g12.seq	WC-706
36.MHAa92g12.seq	WC-1261
36.mHAa3c12.seq	WC-942
37.E1_9_6_95.seq	WC-402
37.MHAa56h1.seq	WC-959
37.MHAa58d1.seq	WC-876
37.MHAa59d1.seq	WC-1242
37.MHAa63d1.seq	WC-117
37.MHAa64h1.seq	WC-983
37.MHAa90d1.seq	WC-1200
37.MHAa91h1.seq	WC-48
37.MHAa92d1.seq	WC-785
37.MMHAP28FLE4.seq	WC-86
38.MHAa10h2.seq	WC-230
38.MHAa52h2.seq	WC-376
38.MHAa56h2.seq	WC-1247
38.MHAa63h2.seq	WC-181
38.MHAa64h2.seq	WC-269
38.MHAa75d2.seq	WC-571
38.MHAa91h2.seq	WC-417
38.MHAa93h2.seq	WC-1019
39.MHAa55h3.seq	WC-778
39.MHAa59d3.seq	WC-586
39.MHAa66d3.seq	WC-211
39.MHAa75d3.seq	WC-211
39.MHAa77d3.seq	WC-310
39.MHAa90d3.seq	WC-296
39.MHAa91h3.seq	WC-1127
39.MHAa92h3.seq	WC-628
39.MMHAP28FLE6.seq	WC-595
40.MHAa27B.seq	WC-1038
40.MHAa61B.seq	WC-886
40.MHAa64h4.seq	WC-37
40.MHAa89h4.seq	WC-383
40.MHAa90d4.seq	WC-652
40.MHAa92d4.seq	WC-876
40.MHAa96d4.seq	WC-123
40.MMHAP28FLF4.seq	WC-210
41.MHAa43f5.seq	WC-318
41.MHAa63d5.seq	WC-158
41.MHAa75d5.seq	WC-618
41.MHAa77d5.seq	WC-298
41.MHAa90h5.seq	WC-56
41.MHAa96d5.seq	WC-887
41.MMHAP28FLF5.seq	WC-329
42.MHAa52h6.seq	WC-181
42.MHAa75d6.seq	WC-12
42.MHAa77d6.seq	WC-887
42.MHAa90d6.seq	WC-147
42.MHAa95d6.seq	WC-455
42.MHAa96d6.seq	WC-1106
42.MHAa98h6.seq	WC-1062
43.MHAa56h7.seq	WC-107
43.MHAa63d7.seq	WC-139
43.MHAa65T_M13Rev.seq	WC-331
43.MHAa91h7.seq	WC-216
43.MHAa92h7.seq	WC-520
43.MHAa98h7.seq	WC-150
44.MHAa42h8.seq	WC-1073
44.MHAa52h8.seq	WC-1071
44.MHAa63d8.seq	WC-1098
44.MHAa96d8.seq	WC-966
44.MMHAP28FLG5.seq	WC-827
45.G1_8_30_95a79B.seq	WC-795
45.MHAa42h9.seq	WC-1119
45.MHAa49d9.seq	WC-487
45.MHAa52h9.seq	WC-704
45.MHAa55h9.seq	WC-250
45.MHAa63d9.seq	WC-550
45.MHAa64h9.seq	WC-47
45.MHAa77d9.seq	WC-344
45.MHAa89h9.seq	WC-382
45.MHAa91h9.seq	WC-273
45.MHAa92d9.seq	WC-468
45.MHAa92h9.seq	WC-854
45.MHAa93h9.seq	WC-1175
45.MMHAP28FLG6.seq	WC-876
46.MHAa56h10.seq	WC-1154
46.MHAa62T.seq	WC-860
46.MHAa63h10.seq	WC-840
46.MHAa64h10.seq	WC-544
46.MHAa65T_M13Rev.seq	WC-1149
46.MHAa89h10.seq	WC-824
46.MHAa90d10.seq	WC-163
46.MHAa92d10.seq	WC-917
46.MHAa95d10.seq	WC-273
46.MMHAP27FRH10.seq	WC-388
46.MMHAP28FLH4.seq	WC-1199
47.E1_9_6_95.seq	WC-416
47.MHAa52h11.seq	WC-1237
47.MHAa95d11.seq	WC-828
47.MHAa98h11.seq	WC-63
48.MHAa59d12.seq	WC-960
48.MHAa75d12.seq	WC-841
48.MMHAP28FLH6.seq	WC-797
A650	WC-886
A659	WC-820
A751	WC-57
A784	WC-223
A892	WC-917
B106	WC-628
B165	WC-1195
B208	WC-1122
B249	WC-561
D10Mit10	WC-311
D10Mit103	WC-440
D10Mit104	WC-1203
D10Mit105	WC-275
D10Mit109	WC-516
D10Mit11	WC-311
D10Mit111	WC-767
D10Mit113	WC-792
D10Mit114	WC-652
D10Mit115	WC-652
D10Mit116	WC-710
D10Mit119	WC-991
D10Mit12	WC-816
D10Mit121	WC-913
D10Mit122.1	WC-1186
D10Mit123	WC-709
D10Mit125	WC-275
D10Mit13	WC-821
D10Mit130	WC-792
D10Mit130.1	WC-792
D10Mit132	WC-659
D10Mit135	WC-414
D10Mit136	WC-913
D10Mit14	WC-315
D10Mit140	WC-996
D10Mit141	WC-679
D10Mit143	WC-1030
D10Mit144	WC-593
D10Mit145	WC-440
D10Mit147	WC-513
D10Mit148	WC-1141
D10Mit150	WC-1030
D10Mit150.1	WC-1030
D10Mit152	WC-1058
D10Mit153	WC-1058
D10Mit154	WC-1058
D10Mit158	WC-710
D10Mit159	WC-672
D10Mit161	WC-277
D10Mit164	WC-586
D10Mit168	WC-225
D10Mit169	WC-1069
D10Mit17	WC-1020
D10Mit174	WC-710
D10Mit175	WC-1012
D10Mit176	WC-311
D10Mit179	WC-315
D10Mit180	WC-315
D10Mit182	WC-1058
D10Mit183	WC-1159
D10Mit184	WC-516
D10Mit185	WC-1093
D10Mit187	WC-586
D10Mit188	WC-750
D10Mit189	WC-225
D10Mit192	WC-525
D10Mit193	WC-516
D10Mit194	WC-1047
D10Mit2	WC-1020
D10Mit200	WC-164
D10Mit201	WC-659
D10Mit202	WC-816
D10Mit205	WC-592
D10Mit205.3	WC-592
D10Mit206	WC-1152
D10Mit21	WC-292
D10Mit210	WC-225
D10Mit212	WC-225
D10Mit213	WC-1069
D10Mit214	WC-275
D10Mit215	WC-423
D10Mit216	WC-1141
D10Mit217	WC-513
D10Mit219	WC-1234
D10Mit220	WC-1093
D10Mit222	WC-792
D10Mit224	WC-652
D10Mit225	WC-710
D10Mit225.1	WC-710
D10Mit227	WC-996
D10Mit228	WC-672
D10Mit23	WC-292
D10Mit231	WC-1133
D10Mit234	WC-315
D10Mit235.1	WC-586
D10Mit237	WC-586
D10Mit238	WC-592
D10Mit239	WC-1141
D10Mit24	WC-315
D10Mit24.1	WC-315
D10Mit24.2	WC-315
D10Mit240	WC-767
D10Mit245	WC-709
D10Mit247	WC-750
D10Mit25	WC-592
D10Mit252	WC-525
D10Mit254	WC-516
D10Mit255	WC-516
D10Mit257.1	WC-1164
D10Mit259	WC-164
D10Mit260	WC-1012
D10Mit263	WC-593
D10Mit264	WC-311
D10Mit265	WC-311
D10Mit266	WC-913
D10Mit267	WC-586
D10Mit268	WC-592
D10Mit275	WC-991
D10Mit279	WC-794
D10Mit28	WC-794
D10Mit285	WC-1047
D10Mit287	WC-710
D10Mit288.2	WC-1012
D10Mit289	WC-816
D10Mit290	WC-816
D10Mit291	WC-991
D10Mit293	WC-1186
D10Mit295	WC-847
D10Mit296	WC-315
D10Mit297	WC-440
D10Mit298	WC-794
D10Mit299.3	WC-792
D10Mit3	WC-1260
D10Mit300	WC-314
D10Mit303.1	WC-821
D10Mit304	WC-315
D10Mit308	WC-1159
D10Mit312	WC-709
D10Mit314	WC-314
D10Mit33	WC-835
D10Mit34	WC-835
D10Mit35	WC-592
D10Mit36	WC-1039
D10Mit38	WC-1141
D10Mit40	WC-1039
D10Mit41	WC-52
D10Mit42	WC-996
D10Mit46	WC-847
D10Mit47	WC-847
D10Mit5	WC-1164
D10Mit50	WC-225
D10Mit54	WC-423
D10Mit55	WC-423
D10Mit56	WC-679
D10Mit57	WC-513
D10Mit58	WC-679
D10Mit65	WC-659
D10Mit66	WC-184
D10Mit67	WC-277
D10Mit68	WC-311
D10Mit71	WC-821
D10Mit74	WC-315
D10Mit76	WC-794
D10Mit77	WC-794
D10Mit79	WC-1058
D10Mit8	WC-672
D10Mit80	WC-1058
D10Mit83	WC-1152
D10Mit85	WC-1260
D10Mit87	WC-275
D10Mit89	WC-679
D10Mit91	WC-710
D10Mit93	WC-672
D10Mit94	WC-593
D10Mit95	WC-311
D11Mit1.1	WC-1105
D11Mit10	WC-697
D11Mit100	WC-193
D11Mit101	WC-194
D11Mit103.1	WC-594
D11Mit107.1	WC-620
D11Mit107.2	WC-620
D11Mit108	WC-182
D11Mit109	WC-135
D11Mit11	WC-194
D11Mit111	WC-628
D11Mit112	WC-865
D11Mit113	WC-662
D11Mit116	WC-58
D11Mit118	WC-572
D11Mit119	WC-7
D11Mit12	WC-974
D11Mit120	WC-7
D11Mit121	WC-223
D11Mit122	WC-500
D11Mit123.3	WC-689
D11Mit124	WC-689
D11Mit127	WC-323
D11Mit128	WC-974
D11Mit13	WC-323
D11Mit130	WC-181
D11Mit131	WC-554
D11Mit132	WC-689
D11Mit134	WC-1198
D11Mit135	WC-979
D11Mit135.1	WC-979
D11Mit138	WC-197
D11Mit139	WC-197
D11Mit14	WC-1000
D11Mit140	WC-628
D11Mit141	WC-628
D11Mit142	WC-554
D11Mit144	WC-546
D11Mit151	WC-132
D11Mit153	WC-707
D11Mit154	WC-584
D11Mit155	WC-865
D11Mit157	WC-504
D11Mit159	WC-223
D11Mit160	WC-65
D11Mit161	WC-168
D11Mit165	WC-297
D11Mit167	WC-974
D11Mit168	WC-974
D11Mit170	WC-536
D11Mit170.1	WC-536
D11Mit173	WC-979
D11Mit174	WC-670
D11Mit175	WC-181
D11Mit176	WC-197
D11Mit177	WC-736
D11Mit178	WC-223
D11Mit179	WC-831
D11Mit180.2	WC-390
D11Mit181	WC-390
D11Mit182	WC-193
D11Mit184	WC-194
D11Mit185	WC-578
D11Mit187	WC-287
D11Mit188	WC-181
D11Mit189	WC-181
D11Mit190	WC-316
D11Mit191	WC-316
D11Mit193	WC-662
D11Mit195	WC-223
D11Mit196.1	WC-818
D11Mit197	WC-1000
D11Mit198	WC-689
D11Mit20.1	WC-181
D11Mit201	WC-323
D11Mit202	WC-193
D11Mit206	WC-181
D11Mit208	WC-865
D11Mit209	WC-662
D11Mit21	WC-181
D11Mit210	WC-916
D11Mit212	WC-374
D11Mit213	WC-229
D11Mit214	WC-455
D11Mit215	WC-1198
D11Mit216	WC-979
D11Mit217	WC-135
D11Mit218	WC-1212
D11Mit22	WC-316
D11Mit220	WC-297
D11Mit223	WC-323
D11Mit224	WC-168
D11Mit225	WC-193
D11Mit226	WC-1092
D11Mit227	WC-626
D11Mit23	WC-628
D11Mit230	WC-578
D11Mit232.1	WC-182
D11Mit233	WC-182
D11Mit234	WC-670
D11Mit236	WC-181
D11Mit237	WC-181
D11Mit239	WC-316
D11Mit240	WC-628
D11Mit244	WC-58
D11Mit246	WC-546
D11Mit247	WC-66
D11Mit249	WC-689
D11Mit250.1	WC-689
D11Mit250.2	WC-689
D11Mit251	WC-323
D11Mit252	WC-193
D11Mit254	WC-974
D11Mit256	WC-1068
D11Mit257	WC-1068
D11Mit260	WC-504
D11Mit262	WC-556
D11Mit266	WC-135
D11Mit269	WC-670
D11Mit270	WC-181
D11Mit273	WC-628
D11Mit275	WC-504
D11Mit276	WC-736
D11Mit279	WC-1027
D11Mit280	WC-58
D11Mit281	WC-223
D11Mit282	WC-214
D11Mit282.1	WC-214
D11Mit283	WC-392
D11Mit284	WC-374
D11Mit285	WC-831
D11Mit287	WC-670
D11Mit288	WC-229
D11Mit289	WC-1182
D11Mit289.2	WC-1182
D11Mit290	WC-323
D11Mit291	WC-974
D11Mit294	WC-86
D11Mit294.2	WC-86
D11Mit295	WC-536
D11Mit296	WC-670
D11Mit298.5	WC-620
D11Mit299	WC-58
D11Mit300	WC-193
D11Mit301	WC-194
D11Mit302	WC-974
D11Mit303.1	WC-594
D11Mit304	WC-1105
D11Mit307	WC-1212
D11Mit308	WC-670
D11Mit309	WC-197
D11Mit310.1	WC-628
D11Mit313	WC-554
D11Mit317	WC-504
D11Mit319	WC-66
D11Mit32	WC-546
D11Mit320	WC-916
D11Mit321	WC-879
D11Mit323	WC-1216
D11Mit324.2	WC-297
D11Mit325	WC-214
D11Mit326	WC-7
D11Mit326.1	WC-7
D11Mit327	WC-831
D11Mit328.2	WC-65
D11Mit329	WC-689
D11Mit33	WC-413
D11Mit330	WC-689
D11Mit331	WC-1075
D11Mit333	WC-168
D11Mit334	WC-193
D11Mit335	WC-885
D11Mit336	WC-193
D11Mit337.2	WC-1171
D11Mit338.3	WC-455
D11Mit34	WC-546
D11Mit344	WC-1003
D11Mit345	WC-979
D11Mit347	WC-670
D11Mit348	WC-707
D11Mit349	WC-554
D11Mit35	WC-7
D11Mit351	WC-662
D11Mit353	WC-546
D11Mit354	WC-392
D11Mit355	WC-223
D11Mit357	WC-831
D11Mit359	WC-689
D11Mit359.1	WC-689
D11Mit36	WC-7
D11Mit360	WC-1075
D11Mit361	WC-193
D11Mit365	WC-66
D11Mit366	WC-546
D11Mit367	WC-670
D11Mit368	WC-620
D11Mit37	WC-413
D11Mit372	WC-58
D11Mit38.1	WC-818
D11Mit38.2	WC-818
D11Mit39	WC-818
D11Mit40	WC-546
D11Mit41	WC-374
D11Mit42.1	WC-974
D11Mit48.1	WC-1171
D11Mit49.1	WC-1171
D11Mit5	WC-662
D11Mit50	WC-390
D11Mit51	WC-182
D11Mit53	WC-1128
D11Mit56	WC-1216
D11Mit58	WC-697
D11Mit59.1	WC-689
D11Mit59.2	WC-689
D11Mit61	WC-194
D11Mit62	WC-1092
D11Mit63	WC-626
D11Mit64	WC-554
D11Mit66	WC-392
D11Mit67	WC-65
D11Mit69.2	WC-885
D11Mit7.1	WC-879
D11Mit7.2	WC-879
D11Mit72	WC-1105
D11Mit75	WC-803
D11Mit76	WC-803
D11Mit77	WC-626
D11Mit78	WC-626
D11Mit81	WC-132
D11Mit86	WC-628
D11Mit87	WC-584
D11Mit89	WC-662
D11Mit90	WC-916
D11Mit91	WC-546
D11Mit92	WC-572
D11Mit93	WC-413
D11Mit94	WC-546
D11Mit95	WC-556
D11Mit96	WC-546
D11Mit97	WC-7
D11Mit98	WC-65
D11Mit99	WC-689
D12Mit10	WC-862
D12Mit10.2	WC-862
D12Mit102	WC-1077
D12Mit103	WC-81
D12Mit104.1	WC-580
D12Mit104.2	WC-580
D12Mit107	WC-1199
D12Mit108	WC-339
D12Mit109	WC-268
D12Mit11.3	WC-862
D12Mit110	WC-85
D12Mit114	WC-104
D12Mit116	WC-1239
D12Mit119	WC-380
D12Mit12	WC-862
D12Mit121	WC-1011
D12Mit122	WC-488
D12Mit123.1	WC-855
D12Mit123.2	WC-855
D12Mit126	WC-64
D12Mit127	WC-204
D12Mit128	WC-472
D12Mit129	WC-472
D12Mit13	WC-862
D12Mit130	WC-321
D12Mit130.3	WC-321
D12Mit131	WC-1018
D12Mit132	WC-488
D12Mit134	WC-891
D12Mit136	WC-1199
D12Mit137	WC-745
D12Mit138	WC-851
D12Mit139	WC-488
D12Mit14	WC-643
D12Mit143	WC-1239
D12Mit146	WC-959
D12Mit147	WC-825
D12Mit149	WC-643
D12Mit151	WC-580
D12Mit153	WC-705
D12Mit155	WC-363
D12Mit160	WC-651
D12Mit161	WC-851
D12Mit165.3	WC-1099
D12Mit166	WC-888
D12Mit167	WC-874
D12Mit169	WC-886
D12Mit17.1	WC-1151
D12Mit170	WC-886
D12Mit171	WC-1199
D12Mit173	WC-515
D12Mit174	WC-472
D12Mit175	WC-472
D12Mit176	WC-944
D12Mit177	WC-944
D12Mit178	WC-1023
D12Mit179	WC-380
D12Mit181	WC-855
D12Mit182	WC-40
D12Mit183	WC-580
D12Mit186	WC-336
D12Mit189	WC-220
D12Mit192	WC-472
D12Mit193	WC-851
D12Mit194	WC-380
D12Mit199	WC-220
D12Mit2	WC-268
D12Mit201	WC-363
D12Mit203	WC-643
D12Mit204	WC-851
D12Mit205	WC-851
D12Mit206	WC-851
D12Mit209	WC-1040
D12Mit209.2	WC-1040
D12Mit210	WC-41
D12Mit212	WC-482
D12Mit213	WC-482
D12Mit214	WC-643
D12Mit216	WC-1214
D12Mit218	WC-862
D12Mit219	WC-522
D12Mit221	WC-825
D12Mit222	WC-336
D12Mit223	WC-1219
D12Mit224	WC-40
D12Mit225	WC-482
D12Mit226	WC-472
D12Mit227	WC-944
D12Mit231	WC-202
D12Mit232	WC-488
D12Mit233	WC-855
D12Mit233.2	WC-855
D12Mit236	WC-521
D12Mit237	WC-85
D12Mit238	WC-851
D12Mit241	WC-1214
D12Mit242	WC-1199
D12Mit243	WC-705
D12Mit244	WC-268
D12Mit245	WC-521
D12Mit247.2	WC-515
D12Mit248	WC-745
D12Mit250	WC-104
D12Mit252	WC-472
D12Mit254	WC-651
D12Mit255	WC-643
D12Mit258	WC-1023
D12Mit259	WC-380
D12Mit260	WC-380
D12Mit263	WC-891
D12Mit264	WC-81
D12Mit266	WC-81
D12Mit267	WC-580
D12Mit268	WC-522
D12Mit27	WC-488
D12Mit270	WC-339
D12Mit273	WC-363
D12Mit274	WC-1244
D12Mit278	WC-1018
D12Mit279	WC-855
D12Mit28	WC-874
D12Mit280	WC-1151
D12Mit281	WC-862
D12Mit282	WC-862
D12Mit285	WC-220
D12Mit286	WC-472
D12Mit287	WC-472
D12Mit287.2	WC-472
D12Mit288	WC-643
D12Mit289	WC-888
D12Mit29	WC-874
D12Mit290	WC-1077
D12Mit293	WC-1011
D12Mit3	WC-472
D12Mit30	WC-202
D12Mit33	WC-482
D12Mit35.1	WC-745
D12Mit37	WC-81
D12Mit41.1	WC-8
D12Mit41.3	WC-8
D12Mit46	WC-705
D12Mit47	WC-380
D12Mit49	WC-886
D12Mit5	WC-643
D12Mit51	WC-1023
D12Mit52	WC-321
D12Mit53	WC-488
D12Mit54	WC-220
D12Mit57	WC-862
D12Mit59	WC-339
D12Mit6	WC-380
D12Mit62	WC-268
D12Mit64	WC-204
D12Mit65	WC-64
D12Mit66	WC-220
D12Mit67	WC-1219
D12Mit68	WC-41
D12Mit7	WC-888
D12Mit70	WC-745
D12Mit71	WC-745
D12Mit72	WC-104
D12Mit76	WC-1023
D12Mit77	WC-1101
D12Mit78	WC-1101
D12Mit80	WC-855
D12Mit82	WC-886
D12Mit85	WC-1199
D12Mit87	WC-220
D12Mit88	WC-220
D12Mit89	WC-515
D12Mit9	WC-580
D12Mit90	WC-363
D12Mit91	WC-363
D12Mit92	WC-363
D12Mit93	WC-958
D12Mit94	WC-851
D12Mit96	WC-239
D12Mit97	WC-202
D12Mit98	WC-202
D12Mit99	WC-888
D13Mit10	WC-429
D13Mit102	WC-730
D13Mit103	WC-730
D13Mit105	WC-439
D13Mit106	WC-439
D13Mit108	WC-543
D13Mit11.3	WC-872
D13Mit110	WC-735
D13Mit111	WC-735
D13Mit113	WC-107
D13Mit114	WC-1225
D13Mit115	WC-141
D13Mit117	WC-1038
D13Mit118	WC-778
D13Mit119	WC-266
D13Mit120	WC-429
D13Mit122	WC-773
D13Mit123	WC-785
D13Mit124	WC-1221
D13Mit125	WC-730
D13Mit128	WC-735
D13Mit129	WC-449
D13Mit13	WC-107
D13Mit130	WC-449
D13Mit131	WC-512
D13Mit132	WC-1033
D13Mit133	WC-892
D13Mit136	WC-330
D13Mit137	WC-1038
D13Mit138	WC-266
D13Mit140	WC-215
D13Mit141	WC-773
D13Mit142	WC-773
D13Mit143.1	WC-872
D13Mit144	WC-735
D13Mit145	WC-67
D13Mit146	WC-250
D13Mit147	WC-1238
D13Mit149	WC-1131
D13Mit151	WC-942
D13Mit152	WC-899
D13Mit153	WC-548
D13Mit154	WC-1208
D13Mit155	WC-442
D13Mit157	WC-773
D13Mit159	WC-439
D13Mit16	WC-141
D13Mit160	WC-543
D13Mit161	WC-543
D13Mit162	WC-37
D13Mit163	WC-892
D13Mit164	WC-442
D13Mit165	WC-442
D13Mit166	WC-771
D13Mit167	WC-773
D13Mit169	WC-543
D13Mit170	WC-1131
D13Mit171	WC-743
D13Mit172	WC-397
D13Mit173	WC-1225
