Locus	Assay	Chrom	Genetic Position	Contig	Yacs
	27.MMHAP26FLA6.seq				132_D_2 164_H_5 312_D_8 324_E_10 325_F_5 334_E_5 349_F_3 382_H_11 388_A_7 409_H_11
	17.MMHAP11FLF2.seq				285_B_11 308_C_11 357_A_3
	MHAa54b9.seq			WCX.33	139_H_4 163_C_6 180_D_10 288_G_4 290_D_9
	03.mHAa9f3.seq			WC1.28	178_D_2 215_D_2 218_D_11 223_C_10 356_A_1 434_F_3 436_B_5
	45.MHAa56h9.seq				123_C_3 362_G_5 376_F_12 417_E_6
	10.MHAa55e10.seq			WC10.3	128_G_5 289_F_2 391_D_8 402_D_8 421_D_6 441_B_11 459_D_3 87_B_11
	30.MHAa89g6.seq			WC1.11	156_B_3 332_B_11 397_C_1
	MHAa54f4.seq				200_C_1 408_H_5 457_F_5
	MHAa78b10.seq			WC18.29	118_G_2 240_G_3 328_H_6 331_D_6 377_B_12 419_C_5 437_E_1 443_A_9 456_F_11 463_E_12
	MHAa70h3.seq			WC3.7	164_C_1 171_D_10 326_D_7 342_D_9 351_B_5 387_G_8 391_H_12 436_C_5 459_D_8
	mHAa57c3.seq			WC16.10	127_G_4 147_F_2 153_D_8 187_A_10 389_B_10 409_A_4 410_F_3 447_B_3
	M69200				198_B_3 300_F_1 312_D_1 345_E_8 380_D_2 443_H_4 457_D_8
	MHAa67a4.seq			WC19.20	122_D_1 160_D_6 320_B_5 433_G_11
	45.MHAa77d9.seq			WC2.45	345_H_2 390_B_5 395_E_4 440_A_4 455_E_9
	MHAa54h2.seq			WC18.16	136_C_11 156_C_2 172_D_3 184_C_2 187_B_7 352_D_12 408_A_12 416_H_5 441_F_3 450_B_2
	34.MHAa43e10.seq				173_G_12 198_E_4 319_F_2 396_D_11
	MHAa87b1.seq			WC17.7	124_F_9 281_D_6 393_C_10 425_A_5 440_H_3
	D78644				125_H_12 180_A_10 387_A_4 395_H_12 459_G_6
	MHAa67d2.seq			WC6.36	153_A_8 313_C_7 313_C_8 343_E_2 395_B_1 411_F_12 458_F_8
	23.MHAa90f11.seq			WC2.2	125_D_10 129_E_4 150_G_2 178_H_8 346_B_5 346_C_6 350_H_5 461_C_6
	MHAa83b7.seq			WC5.3	114_G_7 114_G_8 125_G_10 170_D_5 180_B_6 330_G_1 431_E_9 455_D_2 456_E_4 88_F_1
	MHAa38d3.seq			WC10.24	212_A_8 279_C_6 405_F_1 439_E_11
	MHAa54e7.seq			WC8.5	136_C_5 149_F_10 185_B_9 200_C_1 311_D_4 317_C_7 405_H_4 436_D_7 455_F_9 455_H_9 457_H_7
	U10355				168_C_6 313_D_10 362_F_4 381_F_1 382_D_2 391_E_1 440_E_6 455_C_12
	MHAa54f3.seq			WC1.27	287_D_2 386_F_4 387_H_4 415_E_4 451_D_2 460_H_10
	D17949			WC15.39	298_H_6 304_D_6 307_E_3 341_G_6 341_G_7 381_C_10 427_E_6 456_H_6
	U20159			WC11.8	128_A_8 161_D_5 193_D_1 312_B_5 387_B_10 398_C_2 436_A_9 459_C_2
	27.mHAa8b3.seq			WC4.55	255_B_9 375_C_8 459_E_3
	45.MHAa89h9.seq			WC16.33	116_B_1 166_G_12 188_H_12 285_D_12 305_B_8 328_D_1 360_F_9 409_F_10
	MHAa97c6.seq			WC2.3	118_B_10 121_A_4 121_C_3 121_G_3 133_D_7 137_C_12 149_C_12 152_G_4 159_F_9 281_B_9 344_H_2 356_G_11 375_B_9 381_G_2 382_B_2 384_F_4 390_A_1 398_F_5 406_H_7 451_E_11 458_D_3
	Z12604			WC10.24	325_C_1 405_F_1
	17.MMHAP23FLF2.seq			WC8.29	132_D_8 171_C_3 180_D_4 193_G_10 283_D_8 329_G_5 435_H_3
	U06948			WC1.13	188_F_9 289_G_5 412_B_8 434_G_5 456_E_9 457_F_4 464_D_7
	36.MHAa63g12.seq			WC11.48	126_A_7 213_C_2 213_C_5 274_H_10 408_D_1 415_F_3 416_A_9 452_B_11
	MHAa59g5.seq			WC1.27	122_D_5 140_E_8 153_D_7 181_D_12 217_A_1 287_H_2 391_B_10 443_E_11
	MHAa84h6.seq			WC18.14	110_G_11 379_A_12 426_H_5 442_A_6 442_A_7
	Results_ER_8_28_95_1_52.seq			WC5.8	121_H_6 181_F_1 217_H_3 305_C_5
	08.MMHAP25FLC2.seq			WC12.4	379_F_1 460_E_3
