01.MHAa42e1.seq	WC9.14
10.MMHAP64FRD7.seq	WC15.16
10.MMHAP66FLD1.seq	WC18.29
10.MMHAP66FRD7.seq	WC12.18
10.MMHAP67FLD1.seq	WC1.6
10.MMHAP67FRD7.seq	WC1.53
10.MMHAP6FLD1.seq	WC10.35
10.MMHAP71FLD1.seq	WC4.16
10.MMHAP71FRD7.seq	WC3.20
10.MMHAP75FRD7.seq	WC16.2
10.MMHAP76FRD7.seq	WC17.5
10.MMHAP79FRD7.seq	WC13.24
10.MMHAP82FLD1.seq	WC2.47
10.MMHAP82FRD7.seq	WC12.7
10.MMHAP84FLD1.seq	WC1.42
10.MMHAP85FLD1.seq	WC18.13
10.MMHAP86FLD1.seq	WC3.49
10.MMHAP89FLD1.seq	WC6.31
10.MMHAP8FRD7.seq	WC6.12
10.MMHAP94FRD7.seq	WC2.64
10.MMHAP95FRD7.seq	WC1.43
10.MMHAP97FRD7.seq	WC3.49
10.MMHAP9FRD7.seq	WC1.19
11.G1_8_30_95a79B.seq	WC3.49
11.MHAa49a11.seq	WC8.17
11.MHAa61B.seq	WC17.10
11.MHAa92e11.seq	WC9.3
11.MHAa93e11.seq	WC8.35
11.MMHAP10FD2.seq	WC11.7
11.MMHAP15FLD2.seq	WC16.25
11.MMHAP16FLD2.seq	WC11.36
11.MMHAP16FRD8.seq	WC9.28
11.MMHAP20FRD8.seq	WC5.52
11.MMHAP24FRD8.seq	WC2.64
11.MMHAP26FRD8.seq	WC3.6
11.MMHAP28FRD8.seq	WC1.14
11.MMHAP29FRD8.seq	WC4.35
11.MMHAP32FLD2.seq	WC17.15
11.MMHAP35FLD2.seq	WC12.14
11.MMHAP36FLD2.seq	WC5.47
11.MMHAP38FRD8.seq	WC17.6
11.MMHAP44FRD8.seq	WC2.49
11.MMHAP46FLD2.seq	WC2.63
11.MMHAP51FRD8.seq	WC11.30
11.MMHAP56FRD8.seq	WC11.3
11.MMHAP5FRD8.seq	WC11.12
11.MMHAP61FLD2.seq	WC14.12
11.MMHAP62FLD2.seq	WC16.20
11.MMHAP63FRD8.seq	WC6.47
11.MMHAP69FLD2.seq	WC13.31
11.MMHAP6FLD2.seq	WC10.45
11.MMHAP6FRD8.seq	WC18.14
11.MMHAP75FRD8.seq	WC5.52
11.MMHAP80FLD2.seq	WC7.36
11.MMHAP83FRD8.seq	WC16.32
11.MMHAP87FLD2.seq	WC8.4
11.MMHAP87FRD8.seq	WC2.49
11.MMHAP90FRD8.seq	WC6.35
11.MMHAP91FLD2.seq	WC2.31
11.mHAa7h11.seq	WC6.7
11_27_36iis.seq	WC9.13
12.MHAa90a12.seq	WC18.19
12.MMHAP12FRD9.seq	WC7.37
12.MMHAP14FLD3.seq	WC5.48
12.MMHAP15FRD9.seq	WC1.21
12.MMHAP17FRD9.seq	WC5.38
12.MMHAP18FLD3.seq	WC18.7
12.MMHAP21FLD3.seq	WC3.42
12.MMHAP24FLD3.seq	WC10.28
12.MMHAP26FRD9.seq	WC5.26
12.MMHAP28FLD3.seq	WC4.25
12.MMHAP28FRD9.seq	WC8.18
12.MMHAP29FLD3.seq	WC6.34
12.MMHAP29FRD9.seq	WC6.31
12.MMHAP31FLD3.seq	WC1.8
12.MMHAP32FLD3.seq	WC10.6
12.MMHAP33FLD3.seq	WC1.57
12.MMHAP34FLD3.seq	WC6.47
12.MMHAP35FLD3.seq	WC15.13
12.MMHAP36FLD3.seq	WC12.25
12.MMHAP37FRD9.seq	WC1.63
12.MMHAP38FRD9.seq	WC7.14
12.MMHAP3FLD3.seq	WC16.3
12.MMHAP44FRD9.seq	WC5.51
12.MMHAP50FRD9.seq	WC2.45
12.MMHAP53FLD3.seq	WC14.3
12.MMHAP54FLD3.seq	WC9.34
12.MMHAP59FRD9.seq	WC17.5
12.MMHAP61FRD9.seq	WC8.14
12.MMHAP64FRD9.seq	WC3.46
12.MMHAP67FRD9.seq	WC6.26
12.MMHAP70FLD3.seq	WC6.36
12.MMHAP70FRD9.seq	WC7.19
12.MMHAP7FLD3.seq	WC15.8
12.MMHAP81FLD3.seq	WC2.9
12.MMHAP84FRD9.seq	WC14.13
12.MMHAP85FLD3.seq	WC2.28
12.MMHAP85FRD9.seq	WC3.6
12.MMHAP87FLD3.seq	WC12.1
12.MMHAP91FLD3.seq	WC12.27
12.MMHAP97FRD9.seq	WC15.37
12.mhaa80e.seq	WC9.7
12_5_11_18.seq	WC3.45
12_5_11_6.seq	WCX.27
12_5_15_4.seq	WCX.27
12_5_15_7.seq	WCX.27
12_5_2_1.seq	WC18.17
12_5_2_2.seq	WC18.17
12_5_5_1.seq	WC3.34
12_5_5_6.seq	WC3.34
12_5_5_9.seq	WC11.20
12_5_6_3.seq	WC18.24
12_5_6_6.seq	WC18.24
12_5_9_2.seq	WCX.27
13.MHAa56f1.seq	WC7.32
13.MHAa93f1.seq	WC7.25
13.MHAa96b1.seq	WC4.28
13.MMHAP11FLE1.seq	WC7.37
13.MMHAP12FLE1.seq	WC4.1
13.MMHAP17FRE7.seq	WC19.1
13.MMHAP20FRE7.seq	WC10.24
13.MMHAP21FLE1.seq	WC7.10
13.MMHAP22FRE7.seq	WC12.18
13.MMHAP25FLE1.seq	WC12.7
13.MMHAP25FRE7.seq	WC1.39
13.MMHAP27FLE1.seq	WC9.21
13.MMHAP27FRE7.seq	WC16.12
13.MMHAP28FRE7.seq	WC13.11
13.MMHAP29FRE7.seq	WC5.2
13.MMHAP35FLE1.seq	WC11.28
13.MMHAP45FRE7.seq	WC2.27
13.MMHAP47FLE1.seq	WC18.26
13.MMHAP4FLE1.seq	WC9.20
13.MMHAP4FRE7.seq	WC2.40
13.MMHAP54FLE1.seq	WC6.12
13.MMHAP57FRE7.seq	WC1.61
13.MMHAP59FRE7.seq	WC3.16
13.MMHAP61FRE7.seq	WC2.55
13.MMHAP62FLE1.seq	WC11.34
13.MMHAP62FRE7.seq	WC12.1
13.MMHAP64FLE1.seq	WC4.30
13.MMHAP66FLE1.seq	WC9.18
13.MMHAP68FRE7.seq	WC7.19
13.MMHAP69FLE1.seq	WC5.24
13.MMHAP6FLE1.seq	WC2.64
13.MMHAP76FRE7.seq	WC12.34
13.MMHAP79FRE7.seq	WC15.37
13.MMHAP80FLE1.seq	WC8.26
13.MMHAP85FRE7.seq	WC18.29
13.MMHAP86FLE1.seq	WC14.19
13.MMHAP88FRE7.seq	WC1.11
13.MMHAP9FLE1.seq	WC5.14
13.mHAa3b1.seq	WC9.15
13.mHAa9g1.seq	WC3.25
14.MHAa59b2.seq	WC2.54
14.MHAa62T.seq	WC18.17
14.MHAa63f2.seq	WC13.34
14.MHAa64f2.seq	WC13.23
14.MMHAP11FLE2.seq	WC1.22
14.MMHAP15FLE2.seq	WC16.32
14.MMHAP15FRE8.seq	WC16.27
14.MMHAP17FE2.seq	WC6.32
14.MMHAP17FRE8.seq	WC15.18
14.MMHAP22FRE8.seq	WC7.20
14.MMHAP24FLE2.seq	WC11.1
14.MMHAP26FLE2.seq	WC2.31
14.MMHAP27FRE8.seq	WC8.11
14.MMHAP32FLE2.seq	WC10.38
14.MMHAP33FRE8.seq	WC10.47
14.MMHAP34FRE8.seq	WC4.35
14.MMHAP35FRE8.seq	WC8.41
14.MMHAP36FLE2.seq	WC16.5
14.MMHAP36FRE8.seq	WC5.23
14.MMHAP44FLE2.seq	WC18.1
14.MMHAP47FLE2.seq	WC16.22
14.MMHAP4FLE2.seq	WC2.63
14.MMHAP50FRE8.seq	WC3.7
14.MMHAP53FLE2.seq	WC7.39
14.MMHAP54FLE2.seq	WC11.30
14.MMHAP56FRE8.seq	WC11.27
14.MMHAP57FLE2.seq	WC6.47
14.MMHAP57FRE8.seq	WC16.6
14.MMHAP5FLE2.seq	WC10.6
14.MMHAP61FLE2.seq	WC10.43
14.MMHAP61FRE8.seq	WCX.21
14.MMHAP62FLE2.seq	WC11.34
14.MMHAP63FLE2.seq	WC9.35
14.MMHAP63FRE8.seq	WC6.27
14.MMHAP67FLE2.seq	WC7.12
14.MMHAP68FLE2.seq	WC11.21
14.MMHAP69FLE2.seq	WC6.9
14.MMHAP69FRE8.seq	WC1.71
14.MMHAP6FLE2.seq	WC6.45
14.MMHAP6FRE8.seq	WC10.32
14.MMHAP80FRE8.seq	WC14.36
14.MMHAP82FLE2.seq	WC6.11
14.MMHAP85FLE2.seq	WC11.38
14.MMHAP88FRE8.seq	WC18.16
14.MMHAP90FLE2.seq	WC1.63
14.MMHAP9FRE8.seq	WC18.9
15.E1_9_6_95.seq	WC12.26
15.MHAa10f3.seq	WC6.35
15.MHAa43d3.seq	WC2.55
15.MHAa56f3.seq	WC1.21
15.MHAa58b3.seq	WCX.15
15.MHAa64f3.seq	WC9.16
15.MHAa92b3.seq	WC2.3
15.MHAa98f3.seq	WC13.11
15.MMHAP10FRE9.seq	WC4.39
15.MMHAP11FLE3.seq	WCX.32
15.MMHAP12FLE3.seq	WC10.13
15.MMHAP12FRE9.seq	WC4.20
15.MMHAP14FLE3.seq	WC3.6
15.MMHAP14FRE9.seq	WC3.42
15.MMHAP16FRE9.seq	WC6.34
15.MMHAP20FRE9.seq	WC1.6
15.MMHAP24FRE9.seq	WC5.15
15.MMHAP25FLE3.seq	WC1.37
15.MMHAP26FLE3.seq	WC1.19
15.MMHAP28FLE3.seq	WC11.7
15.MMHAP28FRE9.seq	WC13.34
15.MMHAP34FLE3.seq	WC7.12
15.MMHAP34FRE9.seq	WC10.43
15.MMHAP38FLE3.seq	WC6.29
15.MMHAP47FLE3.seq	WC11.15
15.MMHAP53FRE9.seq	WC4.31
15.MMHAP54FLE3.seq	WC17.10
15.MMHAP56FRE9.seq	WC4.23
15.MMHAP57FLE3.seq	WC7.20
15.MMHAP59FLE3.seq	WC10.11
15.MMHAP61FLE3.seq	WC11.38
15.MMHAP61FRE9.seq	WC3.34
15.MMHAP64FLE3.seq	WC17.7
15.MMHAP66FRE9.seq	WC8.5
15.MMHAP69FRE9.seq	WC9.4
15.MMHAP79FRE9.seq	WC10.34
15.MMHAP84FLE3.seq	WC7.29
15.MMHAP86FRE9.seq	WC3.33
15.MMHAP88FLE3.seq	WC12.26
15.MMHAP88FRE9.seq	WC16.3
15.MMHAP89FLE3.seq	WC11.17
15.MMHAP91FLE3.seq	WCX.7
15.MMHAP94FLE3.seq	WC9.29
15.MMHAP94FRE9.seq	WC1.8
15.MMHAP97FRE9.seq	WC1.8
15.MMHAP9FLE3.seq	WC4.57
16.MHAa10f4.seq	WC2.16
16.MHAa47b4.seq	WC2.30
16.MHAa63b4.seq	WC13.17
16.MHAa65T_M13Rev.seq	WC12.26
16.MHAa75b4.seq	WC3.43
16.MHAa95b4.seq	WC2.69
