01.MHAa42e1.seq	WC-1073
06.MMHAP34FLB3.seq	WC-333
06.MMHAP38FLB3.seq	WC-936
06.MMHAP47FLB3.seq	WC-559
06.MMHAP48FLB3.seq	WC-501
06.MMHAP50FLB3.seq	WC-416
06.MMHAP54FRB9.seq	WC-718
06.MMHAP59FLB3.seq	WC-378
06.MMHAP59FRB9.seq	WC-592
06.MMHAP63FRB9.seq	WC-285
06.MMHAP65FRB9.seq	WC-1064
06.MMHAP66FRB9.seq	WC-518
06.MMHAP69FLB3.seq	WC-349
06.MMHAP71FRB9.seq	WC-557
06.MMHAP76FRB9.seq	WC-900
06.MMHAP82FLB3.seq	WC-770
06.MMHAP83FLB3.seq	WC-909
06.MMHAP84FRB9.seq	WC-861
06.MMHAP86FLB3.seq	WC-413
06.MMHAP95FRB9.seq	WC-449
06.MMHAP9FLB3.seq	WC-844
07.MHAa43c7.seq	WC-982
07.MHAa50e7.seq	WC-1061
07.MHAa64e7.seq	WC-955
07.MHAa92e7.seq	WC-903
07.MMHAP10FC1.seq	WC-29
07.MMHAP12FRC7.seq	WC-261
07.MMHAP17FC1.seq	WC-153
07.MMHAP24FLC1.seq	WC-953
07.MMHAP27FLC1.seq	WC-786
07.MMHAP28FRC7.seq	WC-1044
07.MMHAP29FLC1.seq	WC-27
07.MMHAP31FLC1.seq	WC-1068
07.MMHAP34FLC1.seq	WC-665
07.MMHAP35FLC1.seq	WC-833
07.MMHAP37FRC7.seq	WC-849
07.MMHAP50FLC1.seq	WC-596
07.MMHAP53FLC1.seq	WC-945
07.MMHAP53FRC7.seq	WC-1090
07.MMHAP54FLC1.seq	WC-727
07.MMHAP61FLC1.seq	WC-177
07.MMHAP61FRC7.seq	WC-70
07.MMHAP63FLC1.seq	WC-266
07.MMHAP63FRC7.seq	WC-172
07.MMHAP64FLC1.seq	WC-700
07.MMHAP66FLC1.seq	WC-163
07.MMHAP6FLC1.seq	WC-172
07.MMHAP71FLC1.seq	WC-344
07.MMHAP84FLC1.seq	WC-790
07.MMHAP85FRC7.seq	WC-985
07.MMHAP86FLC1.seq	WC-1007
07.MMHAP86FRC7.seq	WC-866
07.MMHAP88FRC7.seq	WC-716
07.MMHAP97FRC7.seq	WC-180
07.MMHAP9FLC1.seq	WC-797
07.MMHAP9FRC7.seq	WC-554
07.mHAa9f7.seq	WC-831
08.E1_9_6_95.seq	WC-373
08.MHAa46e8.seq	WC-1029
08.MHAa61B.seq	WC-250
08.MHAa89e8.seq	WC-197
08.MHAa92a8.seq	WC-922
08.MHAa96a8.seq	WC-593
08.MMHAP12FRC8.seq	WC-658
08.MMHAP16FLC2.seq	WC-371
08.MMHAP16FRC8.seq	WC-766
08.MMHAP17FRC8.seq	WC-580
08.MMHAP18FRC8.seq	WC-714
08.MMHAP23FRC8.seq	WC-307
08.MMHAP24FRC8.seq	WC-992
08.MMHAP25FLC2.seq	WC-234
08.MMHAP27FRC8.seq	WC-362
08.MMHAP28FRC8.seq	WC-749
08.MMHAP29FLC2.seq	WC-104
08.MMHAP29FRC8.seq	WC-118
08.MMHAP31FLC2.seq	WC-749
08.MMHAP34FLC2.seq	WC-101
08.MMHAP36FLC2.seq	WC-397
08.MMHAP37FRC8.seq	WC-309
08.MMHAP38FRC8.seq	WC-163
08.MMHAP42FLC2.seq	WC-727
08.MMHAP47FLC2.seq	WC-399
08.MMHAP50FRC8.seq	WC-858
08.MMHAP53FLC2.seq	WC-754
08.MMHAP58FRC8.seq	WC-694
08.MMHAP59FLC2.seq	WC-1048
08.MMHAP62FLC2.seq	WC-426
08.MMHAP64FLC2.seq	WC-966
08.MMHAP69FLC2.seq	WC-107
08.MMHAP69FRC8.seq	WC-468
08.MMHAP6FRC8.seq	WC-94
08.MMHAP71FLC2.seq	WC-762
08.MMHAP76FRC8.seq	WC-1078
08.MMHAP81FLC2.seq	WC-178
08.MMHAP84FLC2.seq	WC-151
08.MMHAP84FRC8.seq	WC-892
08.MMHAP85FLC2.seq	WC-535
08.MMHAP85FRC8.seq	WC-564
08.MMHAP91FRC8.seq	WC-17
08.MMHAP94FRC8.seq	WC-1133
08.MMHAP97FRC8.seq	WC-441
08.MMHAP9FRC8.seq	WC-685
08.mHAa9f8.seq	WC-472
09.MHAa55e9.seq	WC-366
09.MHAa77a9.seq	WC-172
09.MMHAP10FC3.seq	WC-170
09.MMHAP11FLC3.seq	WC-465
09.MMHAP12FRC9.seq	WC-699
09.MMHAP14FLC3.seq	WC-397
09.MMHAP14FRC9.seq	WC-616
09.MMHAP15FLC3.seq	WC-249
09.MMHAP23FLC3.seq	WC-825
09.MMHAP23FRC9.seq	WC-629
09.MMHAP26FRC9.seq	WC-277
09.MMHAP28FLC3.seq	WC-1161
09.MMHAP29FLC3.seq	WC-53
09.MMHAP31FLC3.seq	WC-581
09.MMHAP34FRC9.seq	WC-352
09.MMHAP35FLC3.seq	WC-852
09.MMHAP36FLC3.seq	WC-168
09.MMHAP36FRC9.seq	WC-334
09.MMHAP37FRC9.seq	WC-779
09.MMHAP44FLC3.seq	WC-548
09.MMHAP48FLC3.seq	WC-159
09.MMHAP4FRC9.seq	WC-675
09.MMHAP53FRC9.seq	WC-532
09.MMHAP54FLC3.seq	WC-389
09.MMHAP57FRC9.seq	WC-976
09.MMHAP5FLC3.seq	WC-531
09.MMHAP5FRC9.seq	WC-719
09.MMHAP61FLC3.seq	WC-669
09.MMHAP61FRC9.seq	WC-263
09.MMHAP63FLC3.seq	WC-810
09.MMHAP64FRC9.seq	WC-168
09.MMHAP68FRC9.seq	WC-771
09.MMHAP69FLC3.seq	WC-550
09.MMHAP6FRC9.seq	WC-593
09.MMHAP70FLC3.seq	WC-927
09.MMHAP76FLC3.seq	WC-83
09.MMHAP76FRC9.seq	WC-860
09.MMHAP82FLC3.seq	WC-52
09.MMHAP84FLC3.seq	WC-664
09.MMHAP86FLC3.seq	WC-383
09.MMHAP88FRC9.seq	WC-450
09.MMHAP8FRC9.seq	WC-368
09.MMHAP90FLC3.seq	WC-789
09.MMHAP91FRC9.seq	WC-795
09.MMHAP94FLC3.seq	WC-344
09.mHAa3d9.seq	WC-758
10.G1_8_30_95a79B.seq	WC-750
10.MHAa43c10.seq	WC-740
10.MHAa55e10.seq	WC-103
10.MHAa63e10.seq	WC-850
10.MHAa64e10.seq	WC-1161
10.MHAa65T_M13Rev.seq	WC-749
10.MHAa89e10.seq	WC-732
10.MHAa91e10.seq	WC-232
10.MHAa96a10.seq	WC-983
10.MMHAP12FRD7.seq	WC-441
10.MMHAP16FRD7.seq	WC-1069
10.MMHAP20FRD7.seq	WC-621
10.MMHAP25FRD7.seq	WC-184
10.MMHAP26FLD1.seq	WC-1006
10.MMHAP27FRD7.seq	WC-617
10.MMHAP28FLD1.seq	WC-141
10.MMHAP30FLD1.seq	WC-436
10.MMHAP31FLD1.seq	WC-653
10.MMHAP34FLD1.seq	WC-250
10.MMHAP35FLD1.seq	WC-560
10.MMHAP35FRD7.seq	WC-533
10.MMHAP38FLD1.seq	WC-720
10.MMHAP3FRD7.seq	WC-1002
10.MMHAP42FRD7.seq	WC-475
10.MMHAP47FLD1.seq	WC-340
10.MMHAP4FRD7.seq	WC-805
10.MMHAP54FLD1.seq	WC-685
10.MMHAP59FLD1.seq	WC-1077
10.MMHAP5FLD1.seq	WC-441
10.MMHAP61FLD1.seq	WC-626
10.MMHAP62FRD7.seq	WC-947
10.MMHAP63FLD1.seq	WC-1010
10.MMHAP64FLD1.seq	WC-914
10.MMHAP64FRD7.seq	WC-413
10.MMHAP66FLD1.seq	WC-569
10.MMHAP67FLD1.seq	WC-7
10.MMHAP67FRD7.seq	WC-72
10.MMHAP6FLD1.seq	WC-140
10.MMHAP71FLD1.seq	WC-778
10.MMHAP71FRD7.seq	WC-721
10.MMHAP75FRD7.seq	WC-444
10.MMHAP76FRD7.seq	WC-496
10.MMHAP79FRD7.seq	WC-324
10.MMHAP82FLD1.seq	WC-664
10.MMHAP82FRD7.seq	WC-236
10.MMHAP84FLD1.seq	WC-59
10.MMHAP85FLD1.seq	WC-545
10.MMHAP86FLD1.seq	WC-758
10.MMHAP89FLD1.seq	WC-900
10.MMHAP8FRD7.seq	WC-867
10.MMHAP94FRD7.seq	WC-688
10.MMHAP95FRD7.seq	WC-61
10.MMHAP97FRD7.seq	WC-758
10.MMHAP9FRD7.seq	WC-24
11.G1_8_30_95a79B.seq	WC-758
11.MHAa49a11.seq	WC-1018
11.MHAa61B.seq	WC-503
11.MHAa92e11.seq	WC-1061
11.MHAa93e11.seq	WC-1043
11.MMHAP10FD2.seq	WC-166
11.MMHAP15FLD2.seq	WC-477
11.MMHAP16FLD2.seq	WC-215
11.MMHAP16FRD8.seq	WC-1100
11.MMHAP24FRD8.seq	WC-688
11.MMHAP26FRD8.seq	WC-706
11.MMHAP28FRD8.seq	WC-18
11.MMHAP29FRD8.seq	WC-802
11.MMHAP32FLD2.seq	WC-510
11.MMHAP35FLD2.seq	WC-243
11.MMHAP38FRD8.seq	WC-497
11.MMHAP44FRD8.seq	WC-666
11.MMHAP46FLD2.seq	WC-685
11.MMHAP51FRD8.seq	WC-205
11.MMHAP56FRD8.seq	WC-162
11.MMHAP5FRD8.seq	WC-174
11.MMHAP61FLD2.seq	WC-359
11.MMHAP62FLD2.seq	WC-469
11.MMHAP63FRD8.seq	WC-921
11.MMHAP69FLD2.seq	WC-333
11.MMHAP6FLD2.seq	WC-155
11.MMHAP6FRD8.seq	WC-546
11.MMHAP80FLD2.seq	WC-969
11.MMHAP83FRD8.seq	WC-488
11.MMHAP87FLD2.seq	WC-998
11.MMHAP87FRD8.seq	WC-666
11.MMHAP90FRD8.seq	WC-904
11.MMHAP91FLD2.seq	WC-639
11.mHAa7h11.seq	WC-859
11_27_36iis.seq	WC-1072
12.MHAa90a12.seq	WC-553
12.MMHAP12FRD9.seq	WC-972
12.MMHAP15FRD9.seq	WC-28
12.MMHAP18FLD3.seq	WC-535
12.MMHAP21FLD3.seq	WC-746
12.MMHAP24FLD3.seq	WC-130
12.MMHAP28FLD3.seq	WC-789
12.MMHAP28FRD9.seq	WC-1020
12.MMHAP29FLD3.seq	WC-903
12.MMHAP29FRD9.seq	WC-900
12.MMHAP31FLD3.seq	WC-9
12.MMHAP32FLD3.seq	WC-104
12.MMHAP33FLD3.seq	WC-75
12.MMHAP34FLD3.seq	WC-921
12.MMHAP35FLD3.seq	WC-409
12.MMHAP36FLD3.seq	WC-263
12.MMHAP37FRD9.seq	WC-85
12.MMHAP38FRD9.seq	WC-936
12.MMHAP3FLD3.seq	WC-445
12.MMHAP50FRD9.seq	WC-662
12.MMHAP53FLD3.seq	WC-348
12.MMHAP54FLD3.seq	WC-1107
12.MMHAP59FRD9.seq	WC-496
12.MMHAP61FRD9.seq	WC-1014
12.MMHAP64FRD9.seq	WC-751
12.MMHAP67FRD9.seq	WC-887
12.MMHAP70FLD3.seq	WC-906
12.MMHAP70FRD9.seq	WC-944
12.MMHAP7FLD3.seq	WC-403
12.MMHAP81FLD3.seq	WC-609
12.MMHAP84FRD9.seq	WC-360
12.MMHAP85FLD3.seq	WC-633
12.MMHAP85FRD9.seq	WC-706
12.MMHAP87FLD3.seq	WC-228
12.MMHAP91FLD3.seq	WC-271
12.MMHAP97FRD9.seq	WC-441
12.mhaa80e.seq	WC-1066
12_5_11_18.seq	WC-749
12_5_11_6.seq	WC-1151
12_5_15_4.seq	WC-1150
12_5_15_7.seq	WC-1150
12_5_2_1.seq	WC-550
12_5_2_2.seq	WC-550
12_5_5_1.seq	WC-737
12_5_5_6.seq	WC-737
12_5_5_9.seq	WC-185
12_5_6_3.seq	WC-560
12_5_6_6.seq	WC-560
12_5_9_2.seq	WC-1151
13.MHAa56f1.seq	WC-964
13.MHAa93f1.seq	WC-955
13.MHAa96b1.seq	WC-792
13.MMHAP11FLE1.seq	WC-972
13.MMHAP12FLE1.seq	WC-759
13.MMHAP17FRE7.seq	WC-572
13.MMHAP20FRE7.seq	WC-125
13.MMHAP21FLE1.seq	WC-929
13.MMHAP22FRE7.seq	WC-249
13.MMHAP25FLE1.seq	WC-236
13.MMHAP25FRE7.seq	WC-55
13.MMHAP27FLE1.seq	WC-1090
13.MMHAP27FRE7.seq	WC-456
13.MMHAP28FRE7.seq	WC-304
13.MMHAP29FRE7.seq	WC-832
13.MMHAP35FLE1.seq	WC-198
13.MMHAP45FRE7.seq	WC-632
13.MMHAP47FLE1.seq	WC-564
13.MMHAP4FLE1.seq	WC-1088
13.MMHAP4FRE7.seq	WC-650
13.MMHAP54FLE1.seq	WC-867
13.MMHAP57FRE7.seq	WC-80
13.MMHAP59FRE7.seq	WC-716
13.MMHAP61FRE7.seq	WC-675
13.MMHAP62FLE1.seq	WC-209
13.MMHAP62FRE7.seq	WC-229
13.MMHAP64FLE1.seq	WC-794
13.MMHAP66FLE1.seq	WC-1085
13.MMHAP68FRE7.seq	WC-944
13.MMHAP6FLE1.seq	WC-688
13.MMHAP76FRE7.seq	WC-281
13.MMHAP79FRE7.seq	WC-441
13.MMHAP80FLE1.seq	WC-1030
13.MMHAP85FRE7.seq	WC-567
13.MMHAP86FLE1.seq	WC-367
13.MMHAP88FRE7.seq	WC-13
13.MMHAP9FLE1.seq	WC-845
13.mHAa3b1.seq	WC-1076
13.mHAa9g1.seq	WC-727
14.MHAa59b2.seq	WC-672
14.MHAa62T.seq	WC-550
14.MHAa63f2.seq	WC-343
14.MHAa64f2.seq	WC-322
14.MMHAP11FLE2.seq	WC-29
14.MMHAP15FLE2.seq	WC-489
14.MMHAP15FRE8.seq	WC-481
14.MMHAP17FE2.seq	WC-901
14.MMHAP17FRE8.seq	WC-415
14.MMHAP22FRE8.seq	WC-947
14.MMHAP24FLE2.seq	WC-160
14.MMHAP26FLE2.seq	WC-639
14.MMHAP27FRE8.seq	WC-1007
14.MMHAP32FLE2.seq	WC-146
14.MMHAP33FRE8.seq	WC-157
14.MMHAP34FRE8.seq	WC-801
14.MMHAP35FRE8.seq	WC-1048
14.MMHAP36FLE2.seq	WC-447
14.MMHAP44FLE2.seq	WC-529
14.MMHAP47FLE2.seq	WC-471
14.MMHAP4FLE2.seq	WC-686
14.MMHAP50FRE8.seq	WC-707
14.MMHAP53FLE2.seq	WC-974
14.MMHAP54FLE2.seq	WC-204
14.MMHAP56FRE8.seq	WC-194
14.MMHAP57FLE2.seq	WC-921
14.MMHAP57FRE8.seq	WC-448
14.MMHAP5FLE2.seq	WC-104
14.MMHAP61FLE2.seq	WC-152
14.MMHAP61FRE8.seq	WC-1143
14.MMHAP62FLE2.seq	WC-209
14.MMHAP63FLE2.seq	WC-1109
14.MMHAP63FRE8.seq	WC-890
14.MMHAP67FLE2.seq	WC-933
14.MMHAP68FLE2.seq	WC-186
14.MMHAP69FLE2.seq	WC-862
14.MMHAP69FRE8.seq	WC-94
14.MMHAP6FLE2.seq	WC-918
14.MMHAP6FRE8.seq	WC-135
14.MMHAP80FRE8.seq	WC-389
14.MMHAP82FLE2.seq	WC-866
14.MMHAP85FLE2.seq	WC-224
14.MMHAP88FRE8.seq	WC-549
14.MMHAP90FLE2.seq	WC-84
14.MMHAP9FRE8.seq	WC-538
15.E1_9_6_95.seq	WC-264
15.MHAa10f3.seq	WC-904
15.MHAa43d3.seq	WC-675
15.MHAa56f3.seq	WC-28
15.MHAa58b3.seq	WC-1135
15.MHAa64f3.seq	WC-1078
15.MHAa92b3.seq	WC-603
15.MHAa98f3.seq	WC-304
15.MMHAP10FRE9.seq	WC-806
15.MMHAP11FLE3.seq	WC-1159
15.MMHAP12FLE3.seq	WC-112
15.MMHAP12FRE9.seq	WC-782
15.MMHAP14FLE3.seq	WC-706
15.MMHAP14FRE9.seq	WC-746
15.MMHAP16FRE9.seq	WC-903
15.MMHAP20FRE9.seq	WC-7
15.MMHAP24FRE9.seq	WC-846
15.MMHAP25FLE3.seq	WC-51
15.MMHAP26FLE3.seq	WC-24
15.MMHAP28FLE3.seq	WC-166
15.MMHAP28FRE9.seq	WC-341
15.MMHAP34FLE3.seq	WC-932
15.MMHAP34FRE9.seq	WC-152
15.MMHAP38FLE3.seq	WC-897
15.MMHAP47FLE3.seq	WC-177
15.MMHAP53FRE9.seq	WC-797
15.MMHAP54FLE3.seq	WC-502
15.MMHAP56FRE9.seq	WC-787
15.MMHAP57FLE3.seq	WC-948
15.MMHAP59FLE3.seq	WC-110
15.MMHAP61FLE3.seq	WC-224
15.MMHAP61FRE9.seq	WC-737
15.MMHAP64FLE3.seq	WC-498
15.MMHAP66FRE9.seq	WC-999
15.MMHAP69FRE9.seq	WC-1062
15.MMHAP79FRE9.seq	WC-137
15.MMHAP84FLE3.seq	WC-960
15.MMHAP86FRE9.seq	WC-736
15.MMHAP88FLE3.seq	WC-268
15.MMHAP88FRE9.seq	WC-445
15.MMHAP89FLE3.seq	WC-180
15.MMHAP91FLE3.seq	WC-1127
15.MMHAP94FLE3.seq	WC-1101
15.MMHAP94FRE9.seq	WC-10
15.MMHAP97FRE9.seq	WC-9
15.MMHAP9FLE3.seq	WC-827
16.MHAa10f4.seq	WC-620
16.MHAa47b4.seq	WC-637
16.MHAa63b4.seq	WC-314
16.MHAa65T_M13Rev.seq	WC-267
16.MHAa75b4.seq	WC-747
16.MHAa95b4.seq	WC-697
16.MHAa96b4.seq	WC-800
16.MMHAP10FF1.seq	WC-383
16.MMHAP11FLF1.seq	WC-422
16.MMHAP11FRF7.seq	WC-1062
16.MMHAP12FRF7.seq	WC-348
16.MMHAP16FRF7.seq	WC-53
16.MMHAP17FF1.seq	WC-8
16.MMHAP23FRF7.seq	WC-7
16.MMHAP26FLF1.seq	WC-821
16.MMHAP27FRF7.seq	WC-493
16.MMHAP28FLF1.seq	WC-731
16.MMHAP31FLF1.seq	WC-875
16.MMHAP35FLF1.seq	WC-554
16.MMHAP35FRF7.seq	WC-134
16.MMHAP39FRF7.seq	WC-19
16.MMHAP42FLF1.seq	WC-360
16.MMHAP46FRF7.seq	WC-236
16.MMHAP4FLF1.seq	WC-443
16.MMHAP54FLF1.seq	WC-77
16.MMHAP57FLF1.seq	WC-375
16.MMHAP61FRF7.seq	WC-1114
16.MMHAP63FLF1.seq	WC-55
16.MMHAP64FLF1.seq	WC-166
16.MMHAP64FRF7.seq	WC-136
16.MMHAP67FLF1.seq	WC-911
16.MMHAP69FRF7.seq	WC-840
16.MMHAP70FLF1.seq	WC-1080
16.MMHAP83FRF7.seq	WC-465
16.MMHAP84FLF1.seq	WC-523
16.MMHAP84FRF7.seq	WC-67
16.MMHAP85FLF1.seq	WC-941
16.MMHAP87FLF1.seq	WC-377
16.MMHAP90FRF7.seq	WC-96
17.MHAa39B.seq	WC-922
17.MHAa43d5.seq	WC-456
17.MHAa58b5.seq	WC-488
17.MHAa75b5.seq	WC-450
17.MHAa92b5.seq	WC-1162
17.MHAa96b5.seq	WC-1095
17.MMHAP11FRF8.seq	WC-372
17.MMHAP15FRF8.seq	WC-899
17.MMHAP16FRF8.seq	WC-593
17.MMHAP18FRF8.seq	WC-10
17.MMHAP22FRF8.seq	WC-484
17.MMHAP23FLF2.seq	WC-1031
17.MMHAP26FRF8.seq	WC-1062
17.MMHAP34FLF2.seq	WC-844
17.MMHAP36FRF8.seq	WC-802
