Locus	Assay	Chrom	Genetic Position	Contig	Yacs
D1Mit11	M17	Chr1	59.0		113_C_1 120_D_10 123_A_6 131_G_4 185_D_8 281_C_12 283_G_5 310_A_10 329_E_7 345_B_8
D1Mit490	MTH1776	Chr1	60.1		239_H_1
D1Mit491	MTH2578	Chr1	60.1		134_F_12 136_D_3 218_F_6 343_B_6 416_E_10 456_F_7
D1Mit86	MPC247	Chr1	60.1		135_H_1 140_C_6 163_G_3 215_B_1 289_G_8 345_A_11 345_A_9 378_D_3 381_A_4 459_D_9
D1Mit493	MJ5347	Chr1	64.5		349_H_11 428_E_6 464_B_8
D1Mit441	MTH1130	Chr1	64.5	WC1.19	127_A_1 168_B_6 185_B_6 185_G_1 188_G_5 199_A_11 224_G_6 309_A_3 317_F_9 333_E_12 352_E_7 391_B_1 418_E_8 432_F_5
D1Mit87	MPC148	Chr1	64.5	WC1.19	185_E_7 188_G_5 307_C_8 333_E_12 385_C_12 391_B_1
D1Mit26	A795	Chr1	64.5	WC1.20	110_B_1 148_D_5 357_D_12 405_A_1 410_B_2
D1Mit338	MT3977	Chr1	64.5	WC1.19	188_G_5 307_C_8 333_E_12 391_B_1
D1Mit492	MTH1755	Chr1	64.5	WC1.20	126_B_11 148_D_5 357_D_12 405_A_1
D1Mit187	MT1062	Chr1	64.5	WC1.19	165_G_9 224_G_6 256_C_9 333_E_12 391_B_1
D1Mit387	MJ4508	Chr1	64.5	WC1.22	131_C_3 288_E_1 321_H_1 329_C_3 376_D_9 376_E_8 405_B_1 405_D_8 434_G_4 434_H_8 439_B_11 439_G_1
D1Mit388	MT4590	Chr1	65.6	WC1.21	131_C_6 133_D_11 166_D_9 282_H_11 282_H_12 282_H_9 312_C_1 324_F_7 345_H_12 398_A_8 439_E_7 464_B_12
D1Mit417	MTH571	Chr1	65.6	WC1.21	133_D_11 166_D_9 282_H_11 282_H_12 282_H_9 312_C_1 324_F_7 345_H_12 398_A_8 435_A_10 464_B_12
D1Mit137	MPC471	Chr1	65.6	WC1.21	183_H_9 324_F_7
D1Mit444	MTH1479	Chr1	66.7	WC1.24	343_C_5 427_E_1 445_F_8
D1Mit188	MT1177	Chr1	66.7	WC1.23	140_H_9 170_A_7 198_C_4 379_B_4 381_A_9
D1Mit310	MT3500	Chr1	66.7	WC1.23	121_H_4 125_D_4 140_H_9 379_B_4 381_A_9 397_F_3 456_G_7
D1Mit390	MT5119	Chr1	66.7	WC1.25	140_E_2 239_H_4 266_B_7 290_B_2 290_B_3 389_C_11 389_F_5 403_B_11 409_C_9 417_A_2 418_F_4 426_F_4
D1Mit261	MT1406	Chr1	66.7		118_C_7 178_G_7
D1Mit367	MT3620	Chr1	66.7	WC1.26	131_H_12 381_B_3 381_E_11 435_A_9 463_B_11
D1Mit339	MJ4287	Chr1	66.7	WC1.25	124_F_2 132_F_6 152_D_8 153_C_10 160_A_9 193_A_4 212_F_2 317_G_8 343_E_10 381_F_11 386_B_10 415_B_4 415_D_6 418_F_4 434_E_10 435_A_8 448_A_12
D1Mit226	MT1201	Chr1	66.7	WC1.25	132_F_6 152_D_8 171_H_4 302_D_1 330_F_6 415_D_6 418_F_4 435_A_8 448_A_12
D1Mit341	MT3836	Chr1	66.7	WC1.24	308_C_9 409_G_7 441_B_7 445_F_8
D1Mit419	MJ5079	Chr1	66.7	WC1.25	152_D_8 381_F_11 403_B_11 418_F_4 435_A_8 448_A_12 465_F_7
D1Mit260	MT2465	Chr1	66.7	WC1.25	124_F_2 132_F_6 153_C_10 159_A_7 171_H_4 193_A_4 223_C_11 306_H_12 343_E_10 381_F_11 386_B_10 432_H_10 448_A_12
D1Mit12	M93	Chr1	66.7	WC1.25	126_F_6 128_E_11 128_G_2 152_D_8
D1Mit240	MT1670	Chr1	66.7	WC1.26	118_C_3 164_H_3 435_A_9
D1Mit391	MT4738	Chr1	66.7	WC1.25	132_F_6 152_D_8 171_H_4 302_D_1 343_E_10 418_F_4 435_A_8 448_A_12
D1Mit285	MT2761	Chr1	66.7	WC1.22	160_B_12 217_G_1 217_G_2 281_F_4 282_D_5 288_E_1 388_G_11 388_H_10 438_D_7 439_B_11 457_E_1
D1Mit89	MPC481	Chr1	66.7		390_B_3 409_D_6
D1Mit494	MTH2927	Chr1	68.9		120_G_4 127_B_1 299_H_4 300_A_4
D1Mit495	MTH3038	Chr1	69.9	WC1.28	110_G_6 178_B_9 342_H_6 350_E_12 392_H_4 445_A_1 464_F_4
D1Mit536	MTH3167	Chr1	69.9	WC1.27	321_H_5 397_B_1 463_C_11 464_E_10
D1Mit138S	MPC1205.1	Chr1	70.449		141_B_4 187_C_5 304_F_12 379_D_5 385_F_9 388_C_2 411_C_12 435_F_12 450_G_1 464_E_1
D1Mit345	MT3721	Chr1	71.0		133_C_4 133_E_7 239_C_10 358_F_1 384_G_11
D1Mit262S	MT2583.1	Chr1	72.6988	WC1.27	139_F_9 144_F_11 158_G_8 161_C_2 161_G_5 188_D_4 316_D_2 321_H_5 427_E_6 427_G_3 428_C_6 456_B_3 464_E_10
D1Mit218S	MT1318.2	Chr1	72.6988	WC1.28	110_G_6 178_B_9 342_H_6 392_H_4 445_A_1 464_F_4
D1Mit195	MT533	Chr1	73.2		166_A_6 307_A_6 391_D_1
D1Mit30	P100	Chr1	73.2		120_E_9 131_H_7 153_E_3 173_G_1 333_E_12 385_H_3 406_B_4 406_D_4
D1Mit345S	MT3721.2	Chr1	73.8111		115_G_1 118_A_1 133_E_7 358_G_3
D1Mit100	MPC691	Chr1	74.3	WC1.29	160_G_12 185_A_5 185_G_7 198_C_8 256_A_9 279_B_12 378_A_4 430_D_11 433_E_12
D1Mit395	MT5154	Chr1	75.4	WC1.29	185_G_7 198_C_8 240_E_3 362_F_5 387_A_6 402_A_9 442_B_5
D1Mit102	MPC1040	Chr1	75.4	WC1.30	172_C_9 185_G_3 193_G_9 286_A_6 348_B_8 439_G_1
D1Mit394	MJ4510	Chr1	75.4	WC1.30	116_D_12 136_G_2 168_D_11 203_E_1 218_E_8 396_B_12 402_C_7 462_A_12 462_H_11
D1Mit103	MPC425	Chr1	75.4		168_D_5 349_E_10 409_D_8
D1Mit423	MTH733	Chr1	75.4	WC1.29	160_G_12 185_A_5 185_G_7 198_C_8 279_B_12 378_A_4 387_A_6 393_D_10 433_E_12
D1Mit199	MT600	Chr1	75.4	WC1.30	117_A_1 123_B_2 139_B_8 147_D_6 160_G_3 173_H_7 179_E_8 179_G_2 335_G_8 378_D_6 402_C_7 464_C_10
D1Mit448	MTH870	Chr1	75.4		139_E_6 200_G_7 307_F_11 342_D_7 342_F_7 406_A_7
D1Mit445S	MTH1200.2	Chr1	76.061		132_C_1 273_B_11 348_E_2 362_G_9
D1Mit287S	MT2298.2	Chr1	76.061		140_E_3 153_E_3 184_A_5 335_D_8 376_D_10
D1Mit396	MT4893	Chr1	80.9	WC1.32	391_A_6
D1Mit501	MTH2907	Chr1	80.9		351_H_9 465_D_7 465_D_8
D1Mit42	A664	Chr1	80.9	WC1.31	123_D_11 184_D_2 299_B_10 319_H_3 349_H_7 417_H_12 458_F_9
D1Mit502	MTH2816	Chr1	80.9	WC1.32	118_A_6 118_D_11 391_A_6
D1Mit450	MTH966	Chr1	80.9	WC1.31	123_D_11 184_D_2 349_H_7 412_C_12 417_H_12
D1Mit424	MTH524	Chr1	82.0	WC1.34	116_A_3 119_B_9 127_G_10 300_H_4 356_C_12 462_D_9
D1Mit425	MTH770	Chr1	82.0	WC1.35	283_E_12 377_A_5 397_C_6 410_G_9 448_A_8
D1Mit350	MT4226	Chr1	82.0	WC1.33	132_D_12 137_D_11 151_D_5 162_F_1 172_D_9 184_A_4 281_B_6 285_A_7 311_H_11 346_C_1 430_G_1
D1Mit55	B709	Chr1	82.0		115_C_11 116_A_12 144_B_5 217_B_12 341_H_4 403_A_1 414_C_8
D1Mit503	MTH2798	Chr1	82.0	WC1.34	376_F_6 462_D_9
D1Mit33	B192	Chr1	82.0	WC1.33	137_D_11 172_D_9 184_A_4 285_A_7 308_E_6 436_H_3 442_F_2
D1Mit202	MT1081	Chr1	82.0	WC1.35	193_F_6 273_F_8 382_A_7 382_E_10 397_C_6 403_G_7
D1Mit16	L46	Chr1	84.2	WC1.35	115_E_3 115_E_4 153_H_5 311_G_10 397_C_6 427_C_6 433_B_4 465_D_12
D1Mit144	MPC2519	Chr1	85.2	WC1.35	150_E_4 159_D_5 343_B_1 349_E_3 434_E_5
D1Mit507	MTH2209	Chr1	85.2	WC1.35	160_A_12 183_F_8 287_B_6
D1Mit63	B742	Chr1	85.2	WC1.35	166_H_1 256_D_5 287_B_6 335_D_6 345_G_3 349_E_3 359_G_10
D1Mit370	MT3594	Chr1	86.3	WC1.35	115_E_3 115_E_4 153_H_5 311_G_10 397_C_6 433_B_4
D1Mit15	M146	Chr1	86.3	WC1.35	115_B_1 200_C_12 411_A_6 433_B_4 449_A_1
D1Mit453	MTH1264	Chr1	89.6	WC1.35	140_B_2 159_D_5 160_A_12 183_F_8 287_B_6 349_E_3
D1Mit455S	MTH1183.1	Chr1	90.6748	WC1.36	115_B_8 128_C_9 168_F_5 283_H_7 391_D_4 396_E_2
D1Mit149S	D703.1	Chr1	91.7871	WC1.37	117_B_8 117_B_9 139_A_7 139_C_11 141_G_4 141_H_7 288_E_5 288_F_5 385_G_6 391_C_8 392_A_8 402_E_7 419_G_12 442_A_3
D1Mit508	MTH2929	Chr1	91.8	WC1.36	115_B_8 128_C_9 140_H_3 316_C_5 391_D_4 457_B_6
D1Mit455	MTH1183	Chr1	91.8	WC1.36	115_B_8 128_C_9 140_H_3 164_E_4 352_F_6 387_E_2
D1Mit402	MJ4478	Chr1	91.8		240_B_6 293_B_7 343_H_3 356_F_9 382_F_12 406_C_5 415_F_8 438_A_4
D1Mit270	MT2563	Chr1	91.8	WC1.36	184_C_2 286_C_7 316_C_5
D1Mit146	MPC2238	Chr1	91.8	WC1.36	120_C_2 128_B_11 138_G_5 173_C_4 286_C_7 305_B_10 316_C_5 441_A_1
D1Mit148	D921	Chr1	91.8	WC1.36	120_C_2 128_B_11 138_G_5 286_C_7 316_C_5 451_H_1
D1Mit113	MPC1150	Chr1	91.8	WC1.36	087_C_11 133_G_3 214_D_6 282_E_7 305_B_10 333_B_10 362_A_7
D1Mit356	MT2898	Chr1	94.0	WC1.37	117_B_8 117_B_9 119_E_3 288_E_5 385_G_6 392_A_8 442_A_3
D1Mit206	MT820	Chr1	94.0	WC1.37	117_B_8 119_E_3 288_E_5 385_G_6 442_A_3
D1Mit355S	MJ4236.2	Chr1	94.037		117_A_9 119_E_3 136_A_7 137_C_1 287_F_5 295_D_3 361_F_10 409_A_7
D1Mit357	MT3740	Chr1	99.5	WC1.40	124_B_10 132_A_7 158_D_5 177_B_3 352_A_3 402_A_2
D1Mit403	MJ4758	Chr1	99.5	WC1.40	124_B_10 132_A_7 177_B_3 352_B_3 402_A_2 430_G_12 439_A_10
D1Mit166	MT930	Chr1	99.5	WC1.40	087_G_6 127_F_6 132_A_7 430_G_12 446_A_12
D1Mit358	MTAR4132	Chr1	99.5	WC1.38	121_D_12 291_A_9 303_D_1 311_G_7 356_E_8 458_F_3
D1Mit404	MT4886	Chr1	99.5	WC1.38	121_D_12 291_A_9 311_G_7 458_F_3
D1Mit115	MPC514	Chr1	99.5	WC1.38	121_D_12 291_A_9 303_D_1 356_E_8 458_F_3
D1Mit457	MTH1497	Chr1	99.5	WC1.39	117_C_1 172_F_5 172_G_5 289_F_5 334_D_6 421_G_1
D1Mit150	MPC1817	Chr1	99.5	WC1.39	172_F_5 172_G_5 307_H_3 334_D_6 375_E_6 460_G_11
D1Mit116	MPC533	Chr1	100.5	WC1.41	137_C_9 156_B_4 161_D_8 177_D_8 408_F_3
D1Mit361S	MT4010.3	Chr1	101.114	WC1.42	115_H_11 141_G_11 215_C_2 215_C_3 398_H_11 410_A_4 420_A_3 423_E_12 428_E_12
D1Mit315	MTAR166	Chr1	101.6	WC1.41	122_F_10 124_D_11 164_D_8 282_E_12 408_F_3
D1Mit405	MJ4767	Chr1	101.6		423_F_11 428_F_11 444_A_4
D1Mit509	MTH2888	Chr1	101.6		159_G_4 163_B_12 185_C_5 214_G_11 309_A_6
D1Mit151	MPC2642	Chr1	101.6		153_D_11 167_C_6 181_F_10 273_H_9 395_A_1
D1Mit406	MT5030	Chr1	102.7	WC1.41	124_H_6 134_F_10 185_E_4 334_F_8 375_C_1 419_G_7 427_G_10 457_E_7
D1Mit291	MT1775	Chr1	103.8	WC1.42	435_A_7
D1Mit407	MT4820	Chr1	103.8	WC1.42	115_H_11 398_H_11 410_A_4 420_A_3 423_E_12 428_E_12
D1Mit272	MT2361	Chr1	103.8	WC1.42	152_C_12 435_A_7 436_E_2
D1Mit208	MT401	Chr1	103.8	WC1.42	124_E_11 180_C_4 273_G_3 410_A_4
